Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,26.8747,32.0013,0.425559,0.175831,26.1402,-40.0218,21.9203,1.79097,113.887,70.9473,42.9401,
Trace 2 :,38.8044,26.1402,0.377057,0.175831,26.1402,-40.1431,16.4695,1.79097,28.1546,16.188,11.9666,
Trace 3 :,30.3591,13.5976,0.281874,0.175831,32.0013,-40.0456,4.513,3.66376,18.8213,17.6157,1.20563,
Trace 4 :,26.9695,27.4883,0.435756,0.175831,26.1402,-39.1553,13.5976,1.79097,91.7611,59.0647,32.6964,
Trace 5 :,28.5546,39.269,0.374563,0.175831,26.1402,-40.41,27.8399,1.79097,40.7816,22.2642,18.5174,
Trace 6 :,8.41538,39.2104,2.2145,0.175831,0.293052,-44.013,0.586104,0.00724609,-202.071,0.0853206,-202.156,
Trace 7 :,13.8749,39.269,7.64172,0.175831,0.293052,-41.8695,0.117221,0.00724609,-111.698,0.433535,-112.132,
Trace 8 :,32.5895,1.17221,4.45166,0.175831,1.17221,-54.0374,14.7112,0.0296284,-17.4015,-1.69931,-15.7022,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.186667,40.96,
Trace 2 :,0.186667,40.96,
Trace 3 :,0.186667,40.96,
Trace 4 :,0.186667,40.96,
Trace 5 :,0.186667,40.96,
Trace 6 :,0.186667,40.96,
Trace 7 :,0.186667,40.96,
Trace 8 :,0.186667,40.96,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 3 :,Red,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 4 :,Green,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,2.0 mm,2.0 mm,-27 deg
