Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,28.5991,28.8363,0.577727,0.527493,16.1179,-39.062,25.4369,0.683801,76.3096,23.0753,53.2343,
Trace 2 :,31.9738,28.8363,0.343909,0.527493,27.0194,-40.5118,14.1251,2.13264,93.9439,68.0441,25.8998,
Trace 3 :,34.4379,28.8363,0.284922,0.527493,31.1807,-39.6013,19.5759,3.66483,64.37,52.0632,12.3069,
Trace 4 :,27.6029,17.7003,0.356347,0.527493,23.7958,-39.7924,23.7372,1.49725,69.6168,34.1509,35.466,
Trace 5 :,25.8314,22.4478,0.402681,0.527493,23.7958,-39.8416,9.37766,1.49725,93.7056,51.192,42.5135,
Trace 6 :,23.4362,9.49489,0.689777,0.527493,9.08461,-46.9583,23.6786,0.296842,7.28219,-1.19786,8.48005,
Trace 7 :,25.3429,26.3747,0.239682,0.527493,21.9203,-37.7906,22.5064,1.23366,-15.6741,0.443906,-16.118,
Trace 8 :,15.3528,38.8587,2.89271,0.527493,1.1136,-56.5071,19.2242,0.0288682,-70.1743,-0.22081,-69.9534,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.568333,40.265,
Trace 2 :,0.568333,40.265,
Trace 3 :,0.568333,40.265,
Trace 4 :,0.568333,40.265,
Trace 5 :,0.568333,40.265,
Trace 6 :,0.568333,40.265,
Trace 7 :,0.568333,40.265,
Trace 8 :,0.568333,40.265,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 3 :,Red,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 4 :,Green,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,2.0 mm,2.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(Yellow):,Trace 2(LightBlue):,Trace 3(Red):,Trace 4(Green):,Trace 5(Orange):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
0.57616   ,-4.83737e+01,-4.98040e+01,-4.84854e+01,-4.82720e+01,-4.94237e+01,-5.32247e+01,-4.30445e+01,-5.97285e+01,,         0.56833,2.50000e+01,
0.63477   ,-5.06525e+01,-4.90558e+01,-4.92667e+01,-4.93982e+01,-4.97218e+01,-5.60445e+01,-4.22679e+01,-6.18260e+01,,         0.57000,6.00000e+00,
0.69338   ,-4.77577e+01,-4.77246e+01,-4.84428e+01,-5.00445e+01,-4.93767e+01,-5.59845e+01,-4.19502e+01,-6.10158e+01,,         0.57167,-1.30000e+01,
0.75199   ,-5.06309e+01,-5.22857e+01,-4.98260e+01,-4.93776e+01,-4.79057e+01,-5.48945e+01,-4.15964e+01,-6.28358e+01,,         0.57333,-3.10000e+01,
0.81060   ,-4.57935e+01,-4.85776e+01,-4.89675e+01,-4.45661e+01,-4.51236e+01,-5.33196e+01,-4.15970e+01,-6.20130e+01,,         0.57500,-4.80000e+01,
0.86921   ,-4.52384e+01,-4.58752e+01,-4.78248e+01,-4.77083e+01,-4.49841e+01,-5.32593e+01,-4.20331e+01,-6.06495e+01,,         0.57667,-6.20000e+01,
0.92782   ,-4.55058e+01,-4.51673e+01,-4.62524e+01,-4.67535e+01,-4.74413e+01,-5.33829e+01,-4.23639e+01,-6.00279e+01,,         0.57833,-7.20000e+01,
0.98643   ,-5.14530e+01,-5.07608e+01,-5.08243e+01,-4.94828e+01,-5.05348e+01,-5.67360e+01,-4.13724e+01,-5.92875e+01,,         0.58000,-7.90000e+01,
1.04504   ,-4.68461e+01,-4.86933e+01,-4.98281e+01,-4.79905e+01,-4.45831e+01,-5.47915e+01,-4.00682e+01,-5.93403e+01,,         0.58167,-8.10000e+01,
1.10365   ,-4.62201e+01,-4.83850e+01,-4.54004e+01,-4.57963e+01,-5.07531e+01,-5.53288e+01,-4.19911e+01,-6.20201e+01,,         0.58333,-8.00000e+01,
