Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,46.4419,32.5576,1.01172,0.239747,10.8845,-43.9265,27.9065,0.373489,97.6116,27.8014,69.8102,
Trace 2 :,22.948,6.28137,0.230515,0.239747,15.0081,-43.9298,24.6939,0.599868,-107.602,-39.224,-68.3775,
Trace 3 :,18.7765,19.2277,0.489804,0.239747,8.87063,-49.5667,17.6454,0.284711,-7.90012,-0.391014,-7.5091,
Trace 4 :,19.2805,23.639,0.248572,0.239747,23.4952,-45.9565,32.222,1.42119,15.2435,11.864,3.37956,
Trace 5 :,28.2853,12.4189,0.51062,0.239747,12.275,-42.8085,10.0694,0.442308,-70.0707,-17.4945,-52.5762,
Trace 6 :,12.5958,1.15078,0.964452,0.239747,1.39053,-46.1527,3.02081,0.0359899,-84.8111,-2.13016,-82.681,
Trace 7 :,10.7354,32.4617,0.104932,0.239747,26.5639,-60.5252,12.6107,1.97306,-13.6882,-12.816,-0.872221,
Trace 8 :,8.15598,0.671291,0.1176,0.239747,32.3179,-48.0205,19.0359,4.19202,59.9212,41.6701,18.2511,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.235,40.305,
Trace 2 :,0.235,40.305,
Trace 3 :,0.235,40.305,
Trace 4 :,0.235,40.305,
Trace 5 :,0.235,40.305,
Trace 6 :,0.235,40.305,
Trace 7 :,0.235,40.305,
Trace 8 :,0.235,40.305,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 3 :,Red,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 4 :,Green,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,2.0 mm,2.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(Yellow):,Trace 2(LightBlue):,Trace 3(Red):,Trace 4(Green):,Trace 5(Orange):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
0.27775   ,-5.49386e+01,-4.73894e+01,-5.39115e+01,-5.17968e+01,-4.90764e+01,-4.74938e+01,-6.33126e+01,-5.18211e+01,,         0.23667,5.00000e+00,
0.32570   ,-5.39012e+01,-5.12780e+01,-5.25830e+01,-5.05617e+01,-4.96392e+01,-4.74372e+01,-6.40082e+01,-5.17423e+01,,         0.23833,2.10000e+01,
0.37365   ,-5.61140e+01,-4.84510e+01,-5.33309e+01,-4.80233e+01,-4.84391e+01,-4.68603e+01,-6.28384e+01,-5.18295e+01,,         0.24000,3.50000e+01,
0.42160   ,-5.70413e+01,-4.65026e+01,-5.33373e+01,-4.97112e+01,-4.96596e+01,-4.67965e+01,-6.21392e+01,-5.18923e+01,,         0.24167,4.60000e+01,
0.46955   ,-5.43475e+01,-4.91443e+01,-5.40539e+01,-5.14531e+01,-4.93730e+01,-4.73775e+01,-6.34479e+01,-5.21706e+01,,         0.24333,5.30000e+01,
0.51750   ,-5.03851e+01,-4.85914e+01,-5.31010e+01,-5.17052e+01,-5.34830e+01,-4.84189e+01,-6.39830e+01,-5.24722e+01,,         0.24500,5.70000e+01,
0.56545   ,-4.69217e+01,-4.89274e+01,-5.60087e+01,-5.30019e+01,-5.04104e+01,-4.94216e+01,-6.47343e+01,-5.25663e+01,,         0.24667,5.80000e+01,
0.61339   ,-5.18186e+01,-4.84559e+01,-5.56856e+01,-5.09038e+01,-5.29114e+01,-4.98994e+01,-6.48967e+01,-5.24109e+01,,         0.24833,5.60000e+01,
0.66134   ,-4.96532e+01,-5.06438e+01,-5.28216e+01,-5.20159e+01,-5.18362e+01,-5.03028e+01,-6.38882e+01,-5.22715e+01,,         0.25000,5.30000e+01,
0.70929   ,-4.62484e+01,-4.99989e+01,-5.17492e+01,-4.96211e+01,-5.03681e+01,-5.08181e+01,-6.44060e+01,-5.17097e+01,,         0.25167,4.80000e+01,
0.75724   ,-5.63046e+01,-4.64380e+01,-5.42661e+01,-5.11530e+01,-4.98258e+01,-5.08344e+01,-6.57468e+01,-5.05981e+01,,         0.25333,4.30000e+01,
0.80519   ,-6.03637e+01,-4.87363e+01,-5.32377e+01,-5.23694e+01,-5.05398e+01,-5.09254e+01,-6.48323e+01,-5.06173e+01,,         0.25500,3.80000e+01,
