Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
1.98707   ,-4.04273e+01,-4.39855e+01,-4.02286e+01,-3.96019e+01,-3.85007e+01,-5.66171e+01,-5.56744e+01,-6.30618e+01,,         0.29000,-1.50000e+01,
2.07023   ,-4.62740e+01,-4.76588e+01,-4.48581e+01,-4.42658e+01,-4.31176e+01,-5.69923e+01,-5.51383e+01,-6.22265e+01,,         0.29167,-1.80000e+01,
2.15339   ,-4.39625e+01,-4.59212e+01,-4.37908e+01,-4.40251e+01,-4.27324e+01,-5.63406e+01,-5.61899e+01,-6.39749e+01,,         0.29333,-2.00000e+01,
2.23655   ,-3.89308e+01,-3.91813e+01,-4.32541e+01,-4.30909e+01,-3.73246e+01,-5.52577e+01,-5.63522e+01,-6.37213e+01,,         0.29500,-2.20000e+01,
2.31971   ,-4.04761e+01,-4.09930e+01,-4.60528e+01,-4.22006e+01,-4.35515e+01,-5.55022e+01,-5.70895e+01,-6.36995e+01,,         0.29667,-2.30000e+01,
2.40287   ,-3.95737e+01,-3.82834e+01,-4.30130e+01,-3.94191e+01,-3.97260e+01,-5.49974e+01,-5.69468e+01,-6.43423e+01,,         0.29833,-2.40000e+01,
2.48603   ,-4.64711e+01,-4.82670e+01,-4.80016e+01,-4.57237e+01,-4.50911e+01,-5.37118e+01,-5.82007e+01,-6.30359e+01,,         0.30000,-2.40000e+01,
2.56919   ,-4.32538e+01,-4.61272e+01,-4.43882e+01,-4.55283e+01,-4.41000e+01,-5.40356e+01,-5.78888e+01,-6.09840e+01,,         0.30167,-2.50000e+01,
2.65235   ,-4.33109e+01,-4.22363e+01,-4.09354e+01,-4.32893e+01,-4.09203e+01,-5.48084e+01,-5.80018e+01,-5.72102e+01,,         0.30333,-2.50000e+01,
2.73551   ,-4.59267e+01,-4.66558e+01,-4.15212e+01,-4.51876e+01,-4.19411e+01,-5.39458e+01,-5.71958e+01,-5.65277e+01,,         0.30500,-2.50000e+01,
2.81867   ,-4.02577e+01,-4.26536e+01,-4.37202e+01,-4.46630e+01,-3.80215e+01,-5.37988e+01,-5.74275e+01,-6.15824e+01,,         0.30667,-2.50000e+01,
2.90183   ,-4.45051e+01,-4.72687e+01,-4.47383e+01,-4.40444e+01,-4.50275e+01,-5.36145e+01,-5.51587e+01,-6.45353e+01,,         0.30833,-2.60000e+01,
2.98499   ,-4.56191e+01,-4.35032e+01,-4.51074e+01,-4.54334e+01,-4.35683e+01,-5.47073e+01,-5.69145e+01,-6.30050e+01,,         0.31000,-2.60000e+01,
3.06815   ,-3.79648e+01,-4.00596e+01,-4.07183e+01,-4.02420e+01,-4.14094e+01,-5.65748e+01,-5.56987e+01,-6.38847e+01,,         0.31167,-2.60000e+01,
3.15131   ,-4.19043e+01,-4.27409e+01,-4.52057e+01,-4.30794e+01,-4.17277e+01,-5.63462e+01,-5.54211e+01,-6.38276e+01,,         0.31333,-2.60000e+01,
3.23447   ,-3.97465e+01,-4.00548e+01,-4.20529e+01,-3.93008e+01,-4.04192e+01,-5.60558e+01,-5.64327e+01,-6.31388e+01,,         0.31500,-2.60000e+01,
3.31763   ,-4.33092e+01,-4.69274e+01,-4.30175e+01,-4.30350e+01,-4.17347e+01,-5.68639e+01,-5.50370e+01,-6.31938e+01,,         0.31667,-2.70000e+01,
3.40079   ,-4.63461e+01,-4.72618e+01,-4.61119e+01,-4.62609e+01,-4.36825e+01,-5.53299e+01,-5.61820e+01,-6.33340e+01,,         0.31833,-2.70000e+01,
3.48395   ,-3.99975e+01,-4.02280e+01,-3.90444e+01,-3.94191e+01,-3.86109e+01,-5.40642e+01,-5.56355e+01,-6.36352e+01,,         0.32000,-2.70000e+01,
3.56711   ,-4.10594e+01,-4.17729e+01,-4.45697e+01,-4.40197e+01,-4.00392e+01,-5.57991e+01,-5.84375e+01,-6.16199e+01,,         0.32167,-2.70000e+01,
3.65027   ,-4.06243e+01,-4.00873e+01,-4.14848e+01,-4.45874e+01,-3.93234e+01,-5.36213e+01,-5.71300e+01,-6.01420e+01,,         0.32333,-2.70000e+01,
3.73343   ,-4.47286e+01,-4.87960e+01,-4.82580e+01,-4.67695e+01,-4.37063e+01,-5.51500e+01,-5.85809e+01,-5.69736e+01,,         0.32500,-2.70000e+01,
3.81659   ,-4.97052e+01,-4.48488e+01,-4.43839e+01,-5.15733e+01,-4.58855e+01,-5.51263e+01,-5.86224e+01,-5.57917e+01,,         0.32667,-2.70000e+01,
