Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
1.81284   ,-4.28792e+01,-4.38054e+01,-4.55016e+01,-4.62733e+01,-3.87047e+01,-6.28185e+01,-6.33987e+01,-6.51807e+01,,         0.12247,-5.20000e+01,
1.89600   ,-4.81570e+01,-4.60364e+01,-4.61277e+01,-4.47538e+01,-4.16363e+01,-6.21149e+01,-6.41278e+01,-6.27858e+01,,         0.12413,-5.70000e+01,
1.97916   ,-4.85976e+01,-4.98860e+01,-4.85234e+01,-4.11723e+01,-4.26020e+01,-6.22391e+01,-6.38698e+01,-6.29601e+01,,         0.12580,-6.00000e+01,
2.06232   ,-4.00860e+01,-4.13494e+01,-4.84969e+01,-4.56259e+01,-3.96054e+01,-6.28811e+01,-6.59787e+01,-6.40096e+01,,         0.12747,-6.30000e+01,
2.14549   ,-3.99070e+01,-4.36140e+01,-4.41002e+01,-4.53929e+01,-4.27648e+01,-6.29881e+01,-6.28909e+01,-6.32502e+01,,         0.12913,-6.40000e+01,
2.22865   ,-4.52163e+01,-4.01771e+01,-4.50542e+01,-4.32185e+01,-4.49864e+01,-6.24859e+01,-6.35765e+01,-6.27253e+01,,         0.13080,-6.50000e+01,
2.31181   ,-4.81494e+01,-4.58847e+01,-4.45421e+01,-4.68020e+01,-4.38495e+01,-6.18073e+01,-6.46302e+01,-6.49782e+01,,         0.13247,-6.60000e+01,
2.39497   ,-5.07341e+01,-4.42220e+01,-4.82343e+01,-4.40275e+01,-4.01600e+01,-6.15607e+01,-6.51286e+01,-6.19683e+01,,         0.13413,-6.50000e+01,
2.47812   ,-4.68824e+01,-3.95065e+01,-4.40726e+01,-4.75255e+01,-3.95185e+01,-6.20595e+01,-6.41422e+01,-6.25573e+01,,         0.13580,-6.40000e+01,
2.56128   ,-4.31497e+01,-4.09732e+01,-4.31303e+01,-4.29405e+01,-4.04160e+01,-6.21615e+01,-6.52827e+01,-6.38247e+01,,         0.13747,-6.30000e+01,
2.64445   ,-4.04317e+01,-3.99331e+01,-4.19455e+01,-4.46340e+01,-3.82471e+01,-6.20813e+01,-6.21516e+01,-6.27020e+01,,         0.13913,-6.10000e+01,
2.72761   ,-4.70109e+01,-4.52554e+01,-4.82709e+01,-4.08182e+01,-4.44139e+01,-6.16399e+01,-6.60098e+01,-6.14150e+01,,         0.14080,-6.00000e+01,
2.81077   ,-5.08653e+01,-4.24746e+01,-4.78558e+01,-4.43794e+01,-4.15323e+01,-6.09656e+01,-6.33748e+01,-6.27385e+01,,         0.14247,-5.80000e+01,
2.89393   ,-4.74409e+01,-4.07129e+01,-4.65933e+01,-4.79424e+01,-3.97392e+01,-6.34716e+01,-6.43777e+01,-6.30157e+01,,         0.14413,-5.60000e+01,
2.97709   ,-4.28507e+01,-4.27748e+01,-4.24379e+01,-4.51539e+01,-4.01289e+01,-6.26184e+01,-6.48929e+01,-6.23029e+01,,         0.14580,-5.40000e+01,
3.06025   ,-3.76243e+01,-4.19611e+01,-4.47611e+01,-4.16641e+01,-4.22585e+01,-6.21753e+01,-6.44797e+01,-6.37374e+01,,         0.14747,-5.30000e+01,
3.14341   ,-4.66577e+01,-4.09671e+01,-4.79625e+01,-4.47694e+01,-4.10453e+01,-6.38765e+01,-6.44116e+01,-6.38413e+01,,         0.14913,-5.10000e+01,
3.22657   ,-5.28336e+01,-4.42812e+01,-4.95955e+01,-4.22724e+01,-4.25053e+01,-6.36203e+01,-6.42504e+01,-6.34539e+01,,         0.15080,-4.90000e+01,
3.30973   ,-4.60105e+01,-3.99475e+01,-4.82754e+01,-4.04618e+01,-4.05360e+01,-6.11552e+01,-6.51201e+01,-6.40297e+01,,         0.15247,-4.80000e+01,
3.39289   ,-4.65974e+01,-4.34466e+01,-5.05760e+01,-4.07306e+01,-3.68150e+01,-6.24277e+01,-6.47473e+01,-6.43872e+01,,         0.15413,-4.70000e+01,
3.47605   ,-4.16544e+01,-4.28047e+01,-4.46355e+01,-4.31072e+01,-3.99493e+01,-6.32802e+01,-6.40468e+01,-6.25121e+01,,         0.15580,-4.50000e+01,
