Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,66.3615,10.6107,0.294946,0,41.9785,-36.6033,24.4377,30.4047,216.171,209.73,6.44094,
Trace 2 :,41.7586,16.3471,0.200172,0,37.3695,-47.3164,36.0432,6.23899,14.6275,4.46233,10.1652,
Trace 3 :,27.1664,2.75215,0.26128,0,26.1288,-46.9308,22.2161,1.51644,42.8124,19.0591,23.7533,
Trace 4 :,24.4156,17.3418,0.162142,0,39.9227,-48.1407,17.7397,11.6173,2.04627,4.40566,-2.35938,
Trace 5 :,53.0068,10.7765,0.842449,0,10.876,-43.9662,30.5057,0.334818,-32.7515,-11.236,-21.5154,
Trace 6 :,28.1573,26.8915,0.136927,0,39.1601,-46.8695,14.1586,9.32578,-1.33864,-5.33588,3.99724,
Trace 7 :,19.1979,10.2128,0.0610207,0,42.5091,-50.1341,1.1937,50.0034,-25.2925,-25.9338,0.64135,
Trace 8 :,30.5489,10.876,0.21013,0,41.0833,-45.1184,19.265,18.0512,81.3354,72.6099,8.72553,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.024141,43.3833,
Trace 2 :,0.024141,43.3833,
Trace 3 :,0.024141,43.3833,
Trace 4 :,0.024141,43.3833,
Trace 5 :,0.024141,43.3833,
Trace 6 :,0.024141,43.3833,
Trace 7 :,0.024141,43.3833,
Trace 8 :,0.024141,43.3833,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 3 :,Red,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 4 :,Green,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,2.0 mm,2.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(Yellow):,Trace 2(LightBlue):,Trace 3(Red):,Trace 4(Green):,Trace 5(Orange):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
0.02414   ,-4.89847e+01,-5.47967e+01,-5.37578e+01,-5.46138e+01,-5.31286e+01,-5.22316e+01,-5.27280e+01,-5.37512e+01,,         0.00333,6.70000e+01,
0.05730   ,-4.87775e+01,-5.52649e+01,-5.37961e+01,-5.41403e+01,-5.29542e+01,-5.22577e+01,-5.24667e+01,-5.35017e+01,,         0.00500,7.40000e+01,
0.09046   ,-4.93285e+01,-5.53420e+01,-5.33054e+01,-5.36525e+01,-5.40803e+01,-5.27844e+01,-5.28351e+01,-5.22699e+01,,         0.00667,7.80000e+01,
0.12362   ,-4.86841e+01,-5.50398e+01,-5.35146e+01,-5.42913e+01,-5.39881e+01,-5.36304e+01,-5.57736e+01,-5.42093e+01,,         0.00833,7.70000e+01,
0.15677   ,-5.05916e+01,-5.30526e+01,-5.18821e+01,-5.26844e+01,-5.68177e+01,-5.42806e+01,-5.62030e+01,-5.11066e+01,,         0.01000,7.40000e+01,
0.18993   ,-4.51117e+01,-5.16167e+01,-5.41616e+01,-5.41581e+01,-5.20347e+01,-5.23566e+01,-5.59438e+01,-5.41889e+01,,         0.01167,6.80000e+01,
0.22309   ,-4.52840e+01,-5.14203e+01,-5.37546e+01,-5.36117e+01,-5.72546e+01,-5.20584e+01,-5.64445e+01,-5.36675e+01,,         0.01333,6.00000e+01,
0.25625   ,-4.04066e+01,-5.36247e+01,-5.04976e+01,-5.29081e+01,-5.87598e+01,-4.88435e+01,-5.49288e+01,-5.31106e+01,,         0.01500,5.00000e+01,
0.28941   ,-4.23618e+01,-5.21246e+01,-5.27339e+01,-5.22721e+01,-5.75445e+01,-5.26236e+01,-5.41847e+01,-5.20612e+01,,         0.01667,4.00000e+01,
0.32257   ,-4.29861e+01,-5.19922e+01,-5.04600e+01,-5.23389e+01,-5.28766e+01,-5.46673e+01,-5.39748e+01,-5.30536e+01,,         0.01833,2.90000e+01,
0.35572   ,-4.39079e+01,-5.44215e+01,-5.33700e+01,-5.15368e+01,-5.85171e+01,-5.21132e+01,-5.34120e+01,-5.26046e+01,,         0.02000,1.80000e+01,
0.38888   ,-4.48201e+01,-5.47057e+01,-5.36335e+01,-5.19634e+01,-5.45733e+01,-5.47000e+01,-5.37658e+01,-5.29231e+01,,         0.02167,9.00000e+00,
0.42204   ,-4.74424e+01,-5.30915e+01,-5.31262e+01,-5.28462e+01,-5.54357e+01,-5.25964e+01,-5.39665e+01,-5.19934e+01,,         0.02333,1.00000e+00,
0.45520   ,-4.74360e+01,-5.54344e+01,-5.16958e+01,-5.40623e+01,-5.72899e+01,-5.65307e+01,-5.41513e+01,-5.10815e+01,,         0.02500,-5.00000e+00,
0.48836   ,-4.78879e+01,-5.56308e+01,-5.38051e+01,-5.41350e+01,-5.58901e+01,-5.35120e+01,-5.51604e+01,-5.09854e+01,,         0.02667,-9.00000e+00,
0.52152   ,-4.22818e+01,-5.66963e+01,-5.11159e+01,-5.31899e+01,-5.57743e+01,-5.53396e+01,-5.51379e+01,-4.93319e+01,,         0.02833,-1.20000e+01,
0.55468   ,-4.61970e+01,-5.56162e+01,-5.14405e+01,-5.35618e+01,-5.43775e+01,-5.46565e+01,-5.47912e+01,-5.29654e+01,,         0.03000,-1.30000e+01,
0.58783   ,-4.61488e+01,-5.61096e+01,-5.51571e+01,-5.35178e+01,-5.43452e+01,-5.44181e+01,-5.57775e+01,-5.33445e+01,,         0.03167,-1.40000e+01,
0.62099   ,-4.73420e+01,-5.40003e+01,-5.25573e+01,-5.62091e+01,-5.18497e+01,-5.66511e+01,-5.61667e+01,-5.31401e+01,,         0.03333,-1.30000e+01,
0.65415   ,-4.54116e+01,-5.42946e+01,-5.22467e+01,-5.58899e+01,-5.59483e+01,-5.39986e+01,-5.41655e+01,-5.39463e+01,,         0.03500,-1.20000e+01,
0.68731   ,-4.46026e+01,-5.46013e+01,-5.50149e+01,-5.53057e+01,-5.60802e+01,-5.42455e+01,-5.44992e+01,-5.50097e+01,,         0.03667,-1.10000e+01,
0.72047   ,-4.69564e+01,-5.52420e+01,-5.43151e+01,-5.44698e+01,-5.12259e+01,-5.38383e+01,-5.48358e+01,-5.39927e+01,,         0.03833,-1.00000e+01,
0.75363   ,-4.45134e+01,-5.53995e+01,-5.44248e+01,-5.41393e+01,-5.57518e+01,-5.40301e+01,-5.47673e+01,-5.20466e+01,,         0.04000,-8.00000e+00,
0.78679   ,-4.62751e+01,-5.53662e+01,-5.43430e+01,-5.41502e+01,-5.63566e+01,-5.36049e+01,-5.43663e+01,-5.06757e+01,,         0.04167,-7.00000e+00,
0.81994   ,-4.74028e+01,-5.64122e+01,-5.41767e+01,-5.38767e+01,-5.33403e+01,-5.29547e+01,-5.42141e+01,-5.35266e+01,,         0.04333,-6.00000e+00,
0.85310   ,-4.71044e+01,-5.38236e+01,-5.36411e+01,-5.32346e+01,-5.01886e+01,-5.32995e+01,-5.44236e+01,-5.56378e+01,,         0.04500,-5.00000e+00,
0.88626   ,-4.61190e+01,-5.43132e+01,-5.36538e+01,-5.41853e+01,-5.48380e+01,-5.29251e+01,-5.34715e+01,-5.14278e+01,,         0.04667,-4.00000e+00,
0.91942   ,-4.32292e+01,-5.66220e+01,-5.28074e+01,-5.44499e+01,-5.76830e+01,-5.19156e+01,-5.48476e+01,-5.41278e+01,,         0.04833,-3.00000e+00,
0.95258   ,-4.34449e+01,-5.79098e+01,-5.43553e+01,-5.45577e+01,-5.48327e+01,-5.49321e+01,-5.45317e+01,-5.41142e+01,,         0.05000,-2.00000e+00,
0.98574   ,-4.24857e+01,-5.77410e+01,-5.45048e+01,-5.36252e+01,-5.53455e+01,-5.40752e+01,-5.44075e+01,-5.32982e+01,,         0.05167,0.00000e+00,
1.01889   ,-4.60062e+01,-5.61225e+01,-5.32639e+01,-5.40579e+01,-5.63910e+01,-5.26173e+01,-5.42891e+01,-5.34737e+01,,         0.05333,1.00000e+00,
