Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,33.2165,7.15047,0.623702,0,24.7922,-34.4358,5.86104,1.6139,160.18,104.204,55.9756,
Trace 2 :,28.3104,25.6127,0.787202,0,16.8212,-34.3081,21.217,0.720929,128.999,53.4035,75.5953,
Trace 3 :,31.0445,27.6055,0.499748,0,21.0997,-36.8775,9.78794,1.10736,-17.3831,1.72524,-19.1083,
Trace 4 :,28.2222,37.9209,0.630356,0,24.7922,-35.1765,28.9535,1.6139,181.81,116.202,65.6087,
Trace 5 :,38.4651,34.3457,0.498806,0,23.0339,-33.2769,12.8943,1.34544,21.3235,7.06122,14.2623,
Trace 6 :,33.5345,0,0.70645,0,16.9384,-55.1689,9.61211,0.729618,227.394,92.6881,134.706,
Trace 7 :,31.4497,12.8357,0.116279,0,31.7668,-38.81,26.1402,3.78762,-4.32621,-15.6906,11.3644,
Trace 8 :,27.2404,37.2176,0.413043,0,38.2726,-45.6084,17.1728,20.3441,244.822,231.469,13.3523,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.049481,40.2033,
Trace 2 :,0.049481,40.2033,
Trace 3 :,0.049481,40.2033,
Trace 4 :,0.049481,40.2033,
Trace 5 :,0.049481,40.2033,
Trace 6 :,0.049481,40.2033,
Trace 7 :,0.049481,40.2033,
Trace 8 :,0.049481,40.2033,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 3 :,Red,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 4 :,Green,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,1.0 mm,1.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(Yellow):,Trace 2(LightBlue):,Trace 3(Red):,Trace 4(Green):,Trace 5(Orange):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
0.04948   ,-4.98988e+01,-4.75498e+01,-4.74220e+01,-5.08044e+01,-4.47663e+01,-6.71351e+01,-4.25038e+01,-6.14166e+01,,         0.00000,1.21000e+02,
0.10809   ,-5.20874e+01,-4.78190e+01,-4.52277e+01,-5.00133e+01,-4.54814e+01,-6.11039e+01,-4.10164e+01,-5.71067e+01,,         0.00167,1.09000e+02,
0.16670   ,-5.17426e+01,-4.70626e+01,-4.97719e+01,-4.55230e+01,-4.74710e+01,-5.94251e+01,-4.26614e+01,-5.96440e+01,,         0.00333,9.30000e+01,
0.22531   ,-4.72962e+01,-5.16053e+01,-5.57272e+01,-4.97253e+01,-4.37893e+01,-6.11431e+01,-4.30330e+01,-6.17552e+01,,         0.00500,7.60000e+01,
0.28392   ,-4.61442e+01,-3.95399e+01,-4.82304e+01,-4.88024e+01,-4.27130e+01,-6.15461e+01,-4.33710e+01,-6.34056e+01,,         0.00667,5.90000e+01,
0.34253   ,-5.11305e+01,-5.38245e+01,-4.54897e+01,-4.79137e+01,-4.28641e+01,-5.87533e+01,-4.20440e+01,-5.46682e+01,,         0.00833,4.60000e+01,
0.40114   ,-4.86260e+01,-4.81721e+01,-4.60702e+01,-4.78273e+01,-4.75467e+01,-5.98250e+01,-4.25853e+01,-5.73955e+01,,         0.01000,3.80000e+01,
