Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
1.04548   ,-4.96091e+01,-3.84501e+01,-5.27120e+01,-4.37149e+01,-4.44582e+01,-4.97971e+01,-4.69699e+01,-4.17003e+01,,         0.11833,-2.20000e+01,
1.09342   ,-5.02468e+01,-3.86083e+01,-5.23902e+01,-4.44470e+01,-4.42975e+01,-4.87899e+01,-4.69862e+01,-4.17655e+01,,         0.12000,-1.90000e+01,
1.14137   ,-5.18630e+01,-3.74594e+01,-5.38926e+01,-4.58497e+01,-4.45531e+01,-4.86723e+01,-5.08776e+01,-4.18451e+01,,         0.12167,-1.60000e+01,
1.18932   ,-5.19082e+01,-3.77455e+01,-5.19046e+01,-4.60126e+01,-4.51534e+01,-4.85305e+01,-5.07564e+01,-4.17031e+01,,         0.12333,-1.40000e+01,
1.23727   ,-5.14426e+01,-3.75751e+01,-5.29772e+01,-4.41940e+01,-4.55180e+01,-4.91968e+01,-4.86342e+01,-4.20009e+01,,         0.12500,-1.20000e+01,
1.28522   ,-5.06077e+01,-3.70957e+01,-5.46661e+01,-4.36147e+01,-4.51573e+01,-4.92222e+01,-4.92206e+01,-4.19305e+01,,         0.12667,-1.00000e+01,
1.33317   ,-5.26228e+01,-3.68808e+01,-5.31646e+01,-4.32784e+01,-4.57326e+01,-4.95255e+01,-4.82406e+01,-4.20622e+01,,         0.12833,-9.00000e+00,
1.38112   ,-4.94274e+01,-3.63129e+01,-5.15988e+01,-4.79452e+01,-4.71648e+01,-4.96730e+01,-4.96168e+01,-4.20852e+01,,         0.13000,-8.00000e+00,
1.42907   ,-5.07928e+01,-3.61755e+01,-5.22359e+01,-4.85789e+01,-4.68857e+01,-4.94175e+01,-5.14761e+01,-4.27734e+01,,         0.13167,-7.00000e+00,
1.47702   ,-5.32392e+01,-3.59499e+01,-5.32439e+01,-4.63620e+01,-4.66196e+01,-4.94181e+01,-5.09558e+01,-4.25510e+01,,         0.13333,-6.00000e+00,
1.52497   ,-5.07789e+01,-3.58302e+01,-5.45817e+01,-4.64402e+01,-4.68402e+01,-4.88209e+01,-4.98880e+01,-4.25016e+01,,         0.13500,-6.00000e+00,
1.57292   ,-5.07805e+01,-3.61179e+01,-5.44640e+01,-4.83527e+01,-4.63000e+01,-4.98339e+01,-4.83935e+01,-4.27116e+01,,         0.13667,-5.00000e+00,
1.62087   ,-5.24666e+01,-3.52018e+01,-5.30678e+01,-4.69165e+01,-4.75682e+01,-4.89310e+01,-5.14633e+01,-4.29117e+01,,         0.13833,-5.00000e+00,
1.66882   ,-5.15062e+01,-3.57156e+01,-5.21266e+01,-4.73345e+01,-4.70893e+01,-4.84411e+01,-5.13415e+01,-4.28246e+01,,         0.14000,-4.00000e+00,
1.71677   ,-5.09093e+01,-3.62131e+01,-5.27028e+01,-4.81581e+01,-4.69877e+01,-4.94898e+01,-5.06646e+01,-4.24864e+01,,         0.14167,-2.00000e+00,
1.76472   ,-5.17418e+01,-3.62560e+01,-5.45362e+01,-4.67806e+01,-4.60934e+01,-4.84879e+01,-4.71796e+01,-4.20685e+01,,         0.14333,-1.00000e+00,
1.81267   ,-5.20644e+01,-3.59914e+01,-5.27189e+01,-4.62144e+01,-4.57935e+01,-4.93169e+01,-4.68275e+01,-4.24514e+01,,         0.14500,0.00000e+00,
1.86062   ,-4.99605e+01,-3.56591e+01,-5.29890e+01,-4.99340e+01,-4.61004e+01,-5.01060e+01,-4.83788e+01,-4.14412e+01,,         0.14667,1.00000e+00,
1.90856   ,-4.95647e+01,-3.67613e+01,-5.23647e+01,-4.69394e+01,-4.60089e+01,-4.96345e+01,-4.76534e+01,-4.15321e+01,,         0.14833,3.00000e+00,
1.95651   ,-4.97428e+01,-3.79060e+01,-5.13762e+01,-4.42781e+01,-4.50354e+01,-4.92997e+01,-4.67196e+01,-4.15815e+01,,         0.15000,4.00000e+00,
2.00446   ,-4.91140e+01,-3.78661e+01,-5.06382e+01,-4.37788e+01,-4.51753e+01,-4.77404e+01,-4.67521e+01,-4.15601e+01,,         0.15167,5.00000e+00,
2.05241   ,-5.06343e+01,-3.81315e+01,-5.23500e+01,-4.37571e+01,-4.52515e+01,-4.95494e+01,-4.78549e+01,-4.18269e+01,,         0.15333,7.00000e+00,
2.10036   ,-5.08245e+01,-3.73089e+01,-5.22675e+01,-4.66637e+01,-4.44368e+01,-4.94358e+01,-4.74833e+01,-4.10587e+01,,         0.15500,8.00000e+00,
2.14831   ,-4.99242e+01,-3.79118e+01,-5.24610e+01,-4.60030e+01,-4.40303e+01,-4.93494e+01,-4.89358e+01,-4.19006e+01,,         0.15667,1.00000e+01,
2.19626   ,-5.11687e+01,-3.81911e+01,-5.24207e+01,-4.43199e+01,-4.53087e+01,-4.86700e+01,-4.68478e+01,-4.19093e+01,,         0.15833,1.10000e+01,
2.24421   ,-5.05866e+01,-3.83907e+01,-5.17164e+01,-4.43734e+01,-4.45313e+01,-4.89579e+01,-4.64470e+01,-4.16626e+01,,         0.16000,1.20000e+01,
2.29216   ,-4.93713e+01,-3.86795e+01,-5.32269e+01,-4.33417e+01,-4.53351e+01,-4.87546e+01,-4.74325e+01,-4.17715e+01,,         0.16167,1.30000e+01,
2.34011   ,-5.08228e+01,-3.75693e+01,-5.30723e+01,-4.59470e+01,-4.47125e+01,-4.88093e+01,-4.88726e+01,-4.16575e+01,,         0.16333,1.40000e+01,
2.38806   ,-5.09770e+01,-3.80196e+01,-5.16482e+01,-4.53367e+01,-4.48992e+01,-4.92095e+01,-5.00221e+01,-4.16677e+01,,         0.16500,1.50000e+01,
2.43601   ,-5.16790e+01,-3.85160e+01,-5.12562e+01,-4.50432e+01,-4.53486e+01,-4.85168e+01,-4.68585e+01,-4.19119e+01,,         0.16667,1.60000e+01,
2.48396   ,-4.87765e+01,-3.85651e+01,-5.31531e+01,-4.22083e+01,-4.50080e+01,-4.90125e+01,-4.66372e+01,-4.20015e+01,,         0.16833,1.70000e+01,
2.53191   ,-4.99867e+01,-3.85169e+01,-5.18331e+01,-4.37287e+01,-4.48873e+01,-4.92353e+01,-4.78589e+01,-4.13290e+01,,         0.17000,1.80000e+01,
2.57985   ,-5.05889e+01,-3.73665e+01,-5.37845e+01,-4.63437e+01,-4.49566e+01,-4.92229e+01,-4.89284e+01,-4.19744e+01,,         0.17167,1.90000e+01,
2.62781   ,-5.13734e+01,-3.74154e+01,-4.94975e+01,-4.71688e+01,-4.57232e+01,-4.84437e+01,-4.99524e+01,-4.20742e+01,,         0.17333,1.90000e+01,
2.67575   ,-5.11047e+01,-3.75715e+01,-5.24770e+01,-4.46181e+01,-4.61130e+01,-4.85344e+01,-4.90926e+01,-4.18071e+01,,         0.17500,1.90000e+01,
2.72370   ,-4.97619e+01,-3.70892e+01,-5.33200e+01,-4.44158e+01,-4.66028e+01,-4.95018e+01,-4.90124e+01,-4.19777e+01,,         0.17667,1.80000e+01,
2.77165   ,-5.20947e+01,-3.66838e+01,-5.07396e+01,-4.48262e+01,-4.62868e+01,-4.85130e+01,-4.79134e+01,-4.17890e+01,,         0.17833,1.80000e+01,
2.81960   ,-5.26444e+01,-3.59061e+01,-5.25507e+01,-4.87693e+01,-4.74279e+01,-4.95335e+01,-4.90775e+01,-4.20920e+01,,         0.18000,1.70000e+01,
2.86755   ,-5.07777e+01,-3.57169e+01,-5.32922e+01,-5.01513e+01,-4.68518e+01,-4.91082e+01,-5.09522e+01,-4.25689e+01,,         0.18167,1.60000e+01,
2.91550   ,-5.21422e+01,-3.60636e+01,-5.24598e+01,-4.75972e+01,-4.78994e+01,-4.87252e+01,-5.04383e+01,-4.21429e+01,,         0.18333,1.40000e+01,
2.96345   ,-5.21888e+01,-3.54827e+01,-5.26289e+01,-4.82729e+01,-4.77931e+01,-4.97471e+01,-4.97244e+01,-4.23395e+01,,         0.18500,1.20000e+01,
3.01140   ,-5.18629e+01,-3.59632e+01,-5.45664e+01,-4.94904e+01,-4.72095e+01,-4.90232e+01,-4.87232e+01,-4.25290e+01,,         0.18667,1.00000e+01,
3.05935   ,-5.00059e+01,-3.50883e+01,-5.31151e+01,-4.91145e+01,-4.74599e+01,-4.93434e+01,-5.00872e+01,-4.25852e+01,,         0.18833,8.00000e+00,
3.10730   ,-5.14456e+01,-3.52168e+01,-5.36389e+01,-4.54417e+01,-4.77491e+01,-4.82699e+01,-5.21772e+01,-4.30412e+01,,         0.19000,6.00000e+00,
3.15525   ,-5.12834e+01,-3.59029e+01,-5.32173e+01,-4.78016e+01,-4.76747e+01,-4.90816e+01,-4.98501e+01,-4.24438e+01,,         0.19167,4.00000e+00,
3.20320   ,-5.07613e+01,-3.61135e+01,-5.32371e+01,-4.85989e+01,-4.73519e+01,-4.83224e+01,-4.75743e+01,-4.21804e+01,,         0.19333,2.00000e+00,
3.25115   ,-5.12209e+01,-3.58872e+01,-5.35014e+01,-4.73237e+01,-4.67330e+01,-4.97970e+01,-4.70499e+01,-4.19021e+01,,         0.19500,0.00000e+00,
3.29910   ,-4.95761e+01,-3.55410e+01,-5.26644e+01,-4.85828e+01,-4.69649e+01,-4.88700e+01,-4.79482e+01,-4.10952e+01,,         0.19667,-1.00000e+00,
