Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
1.45540   ,-6.28453e+01,-5.74571e+01,-5.97137e+01,-5.83989e+01,-5.74062e+01,-6.22083e+01,-5.02829e+01,-6.13400e+01,,         0.26500,-2.30000e+01,
1.51401   ,-4.94495e+01,-4.99455e+01,-5.20756e+01,-4.44547e+01,-5.43072e+01,-6.46326e+01,-5.17355e+01,-6.19693e+01,,         0.26667,-2.00000e+01,
1.57262   ,-5.54039e+01,-5.13936e+01,-5.81304e+01,-5.61155e+01,-5.54966e+01,-6.64903e+01,-5.25545e+01,-5.94475e+01,,         0.26833,-1.70000e+01,
1.63123   ,-5.11329e+01,-5.22615e+01,-5.00489e+01,-5.15207e+01,-5.08749e+01,-6.54473e+01,-5.21604e+01,-6.01450e+01,,         0.27000,-1.50000e+01,
1.68984   ,-4.72062e+01,-5.14131e+01,-4.85209e+01,-4.33171e+01,-5.36361e+01,-6.48698e+01,-4.74371e+01,-6.29175e+01,,         0.27167,-1.40000e+01,
1.74845   ,-4.56995e+01,-4.62517e+01,-4.71185e+01,-4.66655e+01,-5.15633e+01,-6.40351e+01,-4.56066e+01,-5.82942e+01,,         0.27333,-1.20000e+01,
1.80706   ,-4.31631e+01,-4.75565e+01,-4.46067e+01,-4.28032e+01,-4.04578e+01,-5.95233e+01,-4.71267e+01,-5.66832e+01,,         0.27500,-1.10000e+01,
1.86567   ,-4.38883e+01,-4.62578e+01,-4.63968e+01,-4.33864e+01,-4.88192e+01,-5.83730e+01,-4.72157e+01,-5.81424e+01,,         0.27667,-1.10000e+01,
1.92428   ,-4.81246e+01,-4.45280e+01,-4.81254e+01,-4.65415e+01,-4.80437e+01,-5.82767e+01,-4.65640e+01,-5.82299e+01,,         0.27833,-1.00000e+01,
1.98289   ,-4.73541e+01,-4.67980e+01,-5.17359e+01,-5.06015e+01,-5.15341e+01,-6.31198e+01,-4.59262e+01,-6.08220e+01,,         0.28000,-9.00000e+00,
2.04150   ,-4.66177e+01,-4.65664e+01,-4.55012e+01,-4.87348e+01,-5.16091e+01,-6.10174e+01,-4.77628e+01,-6.20319e+01,,         0.28167,-9.00000e+00,
2.10011   ,-5.33418e+01,-4.76222e+01,-5.38450e+01,-5.11175e+01,-4.82063e+01,-6.38522e+01,-4.52066e+01,-5.88967e+01,,         0.28333,-8.00000e+00,
2.15873   ,-5.77592e+01,-4.85836e+01,-4.69296e+01,-4.98759e+01,-5.33619e+01,-6.21593e+01,-4.86399e+01,-5.98658e+01,,         0.28500,-6.00000e+00,
2.21734   ,-4.43165e+01,-4.88693e+01,-4.73720e+01,-4.92414e+01,-4.60819e+01,-6.68211e+01,-4.63367e+01,-6.27675e+01,,         0.28667,-5.00000e+00,
2.27595   ,-4.98813e+01,-4.80238e+01,-5.04553e+01,-5.22167e+01,-4.80277e+01,-6.50033e+01,-4.76338e+01,-5.99398e+01,,         0.28833,-3.00000e+00,
2.33456   ,-4.47768e+01,-4.67174e+01,-5.20270e+01,-5.02786e+01,-4.74797e+01,-6.55726e+01,-4.54341e+01,-6.23735e+01,,         0.29000,-1.00000e+00,
2.39317   ,-4.68835e+01,-4.94902e+01,-5.07402e+01,-4.81564e+01,-4.74831e+01,-6.36353e+01,-4.83190e+01,-6.04004e+01,,         0.29167,0.00000e+00,
2.45178   ,-5.04123e+01,-5.69828e+01,-4.74545e+01,-5.00550e+01,-5.26993e+01,-6.49508e+01,-4.57022e+01,-5.91183e+01,,         0.29333,2.00000e+00,
2.51039   ,-5.05613e+01,-4.66538e+01,-5.34076e+01,-5.00390e+01,-5.08741e+01,-6.35667e+01,-4.58649e+01,-5.98260e+01,,         0.29500,4.00000e+00,
2.56900   ,-4.85133e+01,-4.63303e+01,-4.76018e+01,-4.96466e+01,-5.15091e+01,-5.88493e+01,-4.57068e+01,-5.93724e+01,,         0.29667,6.00000e+00,
2.62761   ,-4.75140e+01,-4.17028e+01,-4.84545e+01,-4.90265e+01,-4.97084e+01,-6.15835e+01,-4.74255e+01,-5.62148e+01,,         0.29833,8.00000e+00,
2.68622   ,-5.65480e+01,-5.76230e+01,-5.04992e+01,-5.58316e+01,-5.43382e+01,-5.85543e+01,-4.76143e+01,-5.74692e+01,,         0.30000,1.00000e+01,
2.74483   ,-4.68378e+01,-5.08316e+01,-4.37395e+01,-4.91929e+01,-5.40165e+01,-6.07826e+01,-5.14048e+01,-5.99448e+01,,         0.30167,1.30000e+01,
2.80344   ,-4.79120e+01,-4.48156e+01,-4.88968e+01,-4.53841e+01,-5.02344e+01,-6.33922e+01,-5.17770e+01,-5.89650e+01,,         0.30333,1.50000e+01,
2.86205   ,-5.53016e+01,-5.36080e+01,-5.58699e+01,-4.99076e+01,-4.94665e+01,-6.34604e+01,-5.26740e+01,-6.16793e+01,,         0.30500,1.70000e+01,
2.92066   ,-5.65636e+01,-5.24576e+01,-5.54013e+01,-5.50657e+01,-5.42588e+01,-6.52306e+01,-5.39072e+01,-5.95375e+01,,         0.30667,1.90000e+01,
2.97927   ,-4.85505e+01,-4.57903e+01,-4.86531e+01,-5.05975e+01,-5.11336e+01,-6.74176e+01,-5.26478e+01,-5.78257e+01,,         0.30833,2.10000e+01,
3.03788   ,-5.93945e+01,-5.42734e+01,-6.01568e+01,-5.68401e+01,-6.05040e+01,-6.54668e+01,-5.33755e+01,-6.14360e+01,,         0.31000,2.20000e+01,
3.09649   ,-4.75302e+01,-5.31534e+01,-5.25432e+01,-5.09633e+01,-5.07456e+01,-6.22988e+01,-5.32128e+01,-5.82532e+01,,         0.31167,2.40000e+01,
3.15510   ,-4.41719e+01,-4.08093e+01,-5.09607e+01,-5.35897e+01,-4.73109e+01,-6.16668e+01,-5.17706e+01,-6.08596e+01,,         0.31333,2.60000e+01,
3.21371   ,-5.02021e+01,-4.97479e+01,-4.51365e+01,-5.19673e+01,-5.05696e+01,-6.31749e+01,-4.73753e+01,-6.07994e+01,,         0.31500,2.90000e+01,
3.27232   ,-4.48301e+01,-4.64039e+01,-4.29588e+01,-4.69676e+01,-5.62899e+01,-6.27009e+01,-4.53035e+01,-5.92725e+01,,         0.31667,3.10000e+01,
3.33093   ,-4.42348e+01,-5.12156e+01,-4.44277e+01,-4.68299e+01,-5.39398e+01,-6.38868e+01,-4.62504e+01,-6.07014e+01,,         0.31833,3.30000e+01,
3.38954   ,-4.52427e+01,-4.36909e+01,-4.64878e+01,-4.81138e+01,-4.95711e+01,-6.10191e+01,-4.70264e+01,-6.00246e+01,,         0.32000,3.50000e+01,
3.44815   ,-4.73570e+01,-4.68900e+01,-4.73386e+01,-4.72496e+01,-5.21563e+01,-5.79907e+01,-4.51767e+01,-5.93585e+01,,         0.32167,3.70000e+01,
3.50676   ,-4.82893e+01,-5.22586e+01,-4.86800e+01,-5.33717e+01,-5.10317e+01,-5.82914e+01,-4.60164e+01,-5.64506e+01,,         0.32333,3.80000e+01,
3.56537   ,-5.13002e+01,-5.25042e+01,-4.26440e+01,-4.32549e+01,-5.02835e+01,-6.10104e+01,-4.69792e+01,-5.92011e+01,,         0.32500,3.90000e+01,
3.62399   ,-4.38955e+01,-4.58047e+01,-4.42213e+01,-4.69286e+01,-5.16278e+01,-6.21822e+01,-4.55466e+01,-5.89702e+01,,         0.32667,3.90000e+01,
3.68260   ,-4.39288e+01,-4.41459e+01,-4.88373e+01,-4.98399e+01,-4.44172e+01,-6.11039e+01,-4.88677e+01,-5.56029e+01,,         0.32833,3.90000e+01,
3.74121   ,-4.70398e+01,-5.05603e+01,-5.02008e+01,-4.70706e+01,-5.29459e+01,-6.34385e+01,-4.71219e+01,-6.12302e+01,,         0.33000,3.80000e+01,
3.79982   ,-4.65687e+01,-4.60595e+01,-4.55198e+01,-4.55682e+01,-5.27792e+01,-6.34251e+01,-4.76969e+01,-5.91346e+01,,         0.33167,3.70000e+01,
3.85843   ,-5.13939e+01,-5.11449e+01,-4.56324e+01,-4.44361e+01,-5.33941e+01,-6.17810e+01,-4.84371e+01,-6.34462e+01,,         0.33333,3.50000e+01,
3.91704   ,-5.08055e+01,-4.36979e+01,-4.83952e+01,-4.75352e+01,-5.18592e+01,-5.90564e+01,-4.96911e+01,-5.85305e+01,,         0.33500,3.30000e+01,
3.97565   ,-4.77286e+01,-4.95576e+01,-5.24982e+01,-4.30119e+01,-4.72836e+01,-6.35272e+01,-4.85807e+01,-5.86767e+01,,         0.33667,3.00000e+01,
4.03426   ,-5.01318e+01,-4.97131e+01,-4.64195e+01,-5.23601e+01,-5.06474e+01,-6.42609e+01,-4.67506e+01,-6.23852e+01,,         0.33833,2.70000e+01,
4.09287   ,-5.34323e+01,-5.00126e+01,-5.45299e+01,-5.38980e+01,-5.50865e+01,-6.44341e+01,-4.67370e+01,-6.09004e+01,,         0.34000,2.40000e+01,
4.15148   ,-4.53184e+01,-4.31892e+01,-4.67996e+01,-4.44770e+01,-4.99079e+01,-6.23292e+01,-4.66898e+01,-6.04332e+01,,         0.34167,2.10000e+01,
4.21009   ,-4.91006e+01,-5.60704e+01,-4.31040e+01,-5.01414e+01,-5.65040e+01,-6.46476e+01,-4.89110e+01,-5.89204e+01,,         0.34333,1.80000e+01,
