Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
1.39646   ,-5.24076e+01,-5.23822e+01,-5.40673e+01,-5.26189e+01,-5.68214e+01,-4.93383e+01,-5.42557e+01,-5.94962e+01,,         0.22167,-3.70000e+01,
1.45508   ,-5.03435e+01,-5.98699e+01,-5.32032e+01,-5.45826e+01,-5.55874e+01,-4.93073e+01,-6.03527e+01,-5.65259e+01,,         0.22333,-3.40000e+01,
1.51369   ,-5.39721e+01,-5.43541e+01,-5.49340e+01,-5.74602e+01,-6.11179e+01,-4.83670e+01,-6.03092e+01,-6.27543e+01,,         0.22500,-3.10000e+01,
1.57230   ,-5.48180e+01,-5.59613e+01,-5.50770e+01,-5.60100e+01,-6.20147e+01,-4.39720e+01,-5.81024e+01,-5.32708e+01,,         0.22667,-2.80000e+01,
1.63091   ,-4.77188e+01,-5.20771e+01,-5.18816e+01,-5.47544e+01,-6.03174e+01,-4.92077e+01,-5.70236e+01,-6.22480e+01,,         0.22833,-2.60000e+01,
1.68952   ,-5.04533e+01,-4.96383e+01,-5.10505e+01,-6.09506e+01,-5.79694e+01,-4.89967e+01,-5.99507e+01,-5.91881e+01,,         0.23000,-2.40000e+01,
1.74813   ,-4.94957e+01,-5.06390e+01,-5.08485e+01,-5.63372e+01,-6.12454e+01,-4.51240e+01,-6.11896e+01,-6.27263e+01,,         0.23167,-2.20000e+01,
1.80674   ,-5.45857e+01,-5.27518e+01,-5.32686e+01,-5.38303e+01,-6.07209e+01,-5.09991e+01,-5.76688e+01,-5.94849e+01,,         0.23333,-2.00000e+01,
1.86535   ,-4.40663e+01,-5.12949e+01,-5.12795e+01,-5.49138e+01,-6.18299e+01,-4.87908e+01,-5.70312e+01,-5.63723e+01,,         0.23500,-1.90000e+01,
1.92396   ,-5.17484e+01,-5.32023e+01,-5.50128e+01,-5.44960e+01,-5.98964e+01,-5.08864e+01,-6.12631e+01,-6.45589e+01,,         0.23667,-1.70000e+01,
1.98257   ,-5.22033e+01,-5.30138e+01,-5.48245e+01,-5.88314e+01,-6.18352e+01,-5.17497e+01,-5.76190e+01,-6.49464e+01,,         0.23833,-1.60000e+01,
2.04118   ,-5.17398e+01,-4.89194e+01,-6.30872e+01,-5.09587e+01,-5.87218e+01,-4.97576e+01,-5.51376e+01,-6.44834e+01,,         0.24000,-1.50000e+01,
2.09979   ,-5.25187e+01,-5.20467e+01,-6.18956e+01,-4.97343e+01,-5.55440e+01,-4.65778e+01,-5.78309e+01,-5.74302e+01,,         0.24167,-1.40000e+01,
2.15840   ,-4.82817e+01,-5.63628e+01,-5.13258e+01,-5.34333e+01,-6.23602e+01,-5.21267e+01,-5.59274e+01,-6.14427e+01,,         0.24333,-1.30000e+01,
2.21701   ,-5.39499e+01,-5.74919e+01,-5.52341e+01,-5.07073e+01,-6.08288e+01,-4.94447e+01,-5.69688e+01,-5.85604e+01,,         0.24500,-1.20000e+01,
2.27562   ,-4.61417e+01,-5.11429e+01,-5.55598e+01,-5.17544e+01,-6.24235e+01,-4.88087e+01,-5.69556e+01,-5.79255e+01,,         0.24667,-1.10000e+01,
2.33423   ,-5.61661e+01,-4.95862e+01,-5.39257e+01,-4.94404e+01,-5.95392e+01,-5.15224e+01,-5.49635e+01,-5.89648e+01,,         0.24833,-1.00000e+01,
2.39284   ,-5.06268e+01,-5.12628e+01,-5.23563e+01,-5.27637e+01,-6.41356e+01,-4.50130e+01,-5.81401e+01,-5.96454e+01,,         0.25000,-9.00000e+00,
2.45145   ,-5.92762e+01,-5.13053e+01,-5.32542e+01,-5.54845e+01,-5.87666e+01,-4.75698e+01,-5.80789e+01,-5.75551e+01,,         0.25167,-8.00000e+00,
2.51006   ,-5.18254e+01,-5.25202e+01,-5.26008e+01,-5.50889e+01,-5.95090e+01,-5.11710e+01,-5.62523e+01,-6.12967e+01,,         0.25333,-7.00000e+00,
2.56867   ,-5.50286e+01,-5.45399e+01,-5.54525e+01,-5.94607e+01,-5.84817e+01,-4.62679e+01,-5.68614e+01,-5.98554e+01,,         0.25500,-6.00000e+00,
2.62728   ,-5.49273e+01,-5.58444e+01,-5.23931e+01,-5.35341e+01,-5.76336e+01,-4.72456e+01,-5.51892e+01,-6.34783e+01,,         0.25667,-6.00000e+00,
2.68589   ,-5.46460e+01,-5.18082e+01,-5.24946e+01,-5.31820e+01,-5.77105e+01,-4.86084e+01,-5.95637e+01,-6.06553e+01,,         0.25833,-4.00000e+00,
2.74450   ,-5.05719e+01,-6.00861e+01,-5.08610e+01,-5.33092e+01,-6.18746e+01,-4.55197e+01,-5.93690e+01,-6.41930e+01,,         0.26000,-3.00000e+00,
2.80311   ,-5.38930e+01,-5.83249e+01,-5.78330e+01,-6.04073e+01,-6.47337e+01,-4.60218e+01,-5.44173e+01,-5.68209e+01,,         0.26167,-2.00000e+00,
2.86172   ,-5.27662e+01,-5.24874e+01,-5.17427e+01,-6.04703e+01,-6.08504e+01,-4.48241e+01,-5.75632e+01,-6.13078e+01,,         0.26333,0.00000e+00,
2.92034   ,-5.43738e+01,-5.16559e+01,-5.49713e+01,-5.51079e+01,-6.63640e+01,-4.93343e+01,-5.75062e+01,-5.86225e+01,,         0.26500,1.00000e+00,
2.97895   ,-5.48469e+01,-5.53718e+01,-5.06693e+01,-5.69545e+01,-6.14618e+01,-4.68558e+01,-5.82103e+01,-5.64448e+01,,         0.26667,3.00000e+00,
