Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
1.39728   ,-5.73929e+01,-5.18700e+01,-5.62192e+01,-5.44518e+01,-6.08071e+01,-5.92566e+01,-5.51005e+01,-6.10767e+01,,         0.25667,-5.60000e+01,
1.45589   ,-5.69417e+01,-5.41091e+01,-5.73822e+01,-5.54165e+01,-5.57471e+01,-6.09180e+01,-5.35788e+01,-6.18926e+01,,         0.25833,-5.30000e+01,
1.51450   ,-5.21973e+01,-4.97142e+01,-4.76992e+01,-5.15468e+01,-5.50396e+01,-6.03005e+01,-5.32320e+01,-6.26313e+01,,         0.26000,-5.10000e+01,
1.57311   ,-5.71954e+01,-5.12396e+01,-5.92487e+01,-5.51967e+01,-5.84864e+01,-6.04115e+01,-5.41195e+01,-6.11787e+01,,         0.26167,-4.90000e+01,
1.63172   ,-5.85135e+01,-5.91697e+01,-5.82351e+01,-5.58054e+01,-5.73193e+01,-5.93777e+01,-5.38257e+01,-6.11335e+01,,         0.26333,-4.80000e+01,
1.69033   ,-5.81958e+01,-5.65487e+01,-5.86226e+01,-5.28787e+01,-5.90523e+01,-5.84285e+01,-5.35218e+01,-6.13354e+01,,         0.26500,-4.60000e+01,
1.74894   ,-5.25312e+01,-5.36414e+01,-5.63634e+01,-5.75864e+01,-5.91298e+01,-5.89255e+01,-5.32419e+01,-5.93926e+01,,         0.26667,-4.50000e+01,
1.80755   ,-5.24930e+01,-5.70855e+01,-4.89327e+01,-5.07721e+01,-5.48727e+01,-6.09939e+01,-5.36220e+01,-6.06487e+01,,         0.26833,-4.40000e+01,
1.86616   ,-5.02675e+01,-4.77726e+01,-5.33805e+01,-5.49047e+01,-5.51905e+01,-5.99667e+01,-5.15787e+01,-5.62723e+01,,         0.27000,-4.20000e+01,
1.92477   ,-5.62653e+01,-5.32430e+01,-5.61236e+01,-5.22986e+01,-5.65484e+01,-5.98655e+01,-5.10905e+01,-5.79154e+01,,         0.27167,-4.00000e+01,
1.98338   ,-5.55881e+01,-5.29409e+01,-5.29947e+01,-5.26663e+01,-5.80789e+01,-5.86597e+01,-5.23943e+01,-5.75501e+01,,         0.27333,-3.90000e+01,
2.04199   ,-5.24564e+01,-5.23597e+01,-5.42404e+01,-5.19082e+01,-5.94475e+01,-5.93586e+01,-5.31366e+01,-5.86393e+01,,         0.27500,-3.70000e+01,
2.10060   ,-5.77158e+01,-5.46089e+01,-5.15995e+01,-5.26933e+01,-5.75863e+01,-5.97249e+01,-5.62143e+01,-6.31361e+01,,         0.27667,-3.50000e+01,
2.15921   ,-4.90390e+01,-5.16628e+01,-4.74349e+01,-5.42859e+01,-5.78864e+01,-5.65792e+01,-5.47802e+01,-6.23029e+01,,         0.27833,-3.30000e+01,
2.21782   ,-6.11663e+01,-5.83302e+01,-5.43339e+01,-5.76936e+01,-5.71093e+01,-5.82906e+01,-5.59493e+01,-6.33646e+01,,         0.28000,-3.20000e+01,
2.27643   ,-5.32994e+01,-4.80644e+01,-5.16430e+01,-5.72008e+01,-5.88725e+01,-5.72993e+01,-5.33378e+01,-6.58416e+01,,         0.28167,-3.00000e+01,
2.33504   ,-5.40941e+01,-5.29867e+01,-5.44038e+01,-5.57089e+01,-5.59557e+01,-6.12961e+01,-5.56334e+01,-6.43547e+01,,         0.28333,-2.80000e+01,
2.39365   ,-5.48316e+01,-5.06594e+01,-5.81676e+01,-5.41536e+01,-5.93769e+01,-6.01293e+01,-5.51214e+01,-6.44622e+01,,         0.28500,-2.70000e+01,
