Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,36.499,38.7526,0.213474,0.08316,55.6341,-31.4277,13.4719,12.083,201.056,179.506,21.5507,
Trace 2 :,33.29,38.7526,0.233575,0.08316,38.1705,-32.998,41.5801,1.72968,74.0228,48.3392,25.6836,
Trace 3 :,33.0338,38.7526,0.123657,0.08316,55.6341,-31.0973,32.6819,12.083,-78.9284,-77.0306,-1.89776,
Trace 4 :,36.7401,30.5198,0.340137,0.08316,25.1144,-30.7739,25.1975,0.715018,-18.6807,-7.67246,-11.0082,
Trace 5 :,52.3396,30.5198,0.402207,0.08316,30.6861,-33.9765,26.7776,1.03836,189.329,95.235,94.0939,
Trace 6 :,46.5146,38.8358,0.343366,0.08316,31.7672,-33.9295,15.3015,1.11576,140.701,62.8357,77.8652,
Trace 7 :,60.6978,2.66113,0.370494,0.08316,37.8379,-36.1979,5.57173,1.68915,240.321,139.579,100.742,
Trace 8 :,48.9936,19.21,1.82908,0.08316,7.65073,-38.1569,12.7235,0.145485,167.496,15.7823,151.713,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.15,60.395,
Trace 2 :,0.15,60.395,
Trace 3 :,0.15,60.395,
Trace 4 :,0.15,60.395,
Trace 5 :,0.15,60.395,
Trace 6 :,0.15,60.395,
Trace 7 :,0.15,60.395,
Trace 8 :,0.15,60.395,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 3 :,Red,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 4 :,Green,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,2.0 mm,2.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(Yellow):,Trace 2(LightBlue):,Trace 3(Red):,Trace 4(Green):,Trace 5(Orange):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
0.15653   ,-4.33041e+01,-4.19137e+01,-3.79768e+01,-3.93162e+01,-4.63186e+01,-4.48373e+01,-5.02166e+01,-5.21507e+01,,         0.15000,5.90000e+01,
0.23969   ,-4.24471e+01,-4.37435e+01,-4.29898e+01,-4.23771e+01,-4.58722e+01,-4.61595e+01,-4.29596e+01,-4.81597e+01,,         0.15167,4.30000e+01,
0.32285   ,-4.71220e+01,-4.62301e+01,-4.62379e+01,-3.82559e+01,-4.86040e+01,-4.33255e+01,-4.39751e+01,-4.89717e+01,,         0.15333,2.40000e+01,
0.40601   ,-4.03512e+01,-4.02092e+01,-3.96368e+01,-4.11544e+01,-4.49302e+01,-4.05378e+01,-4.97369e+01,-4.45270e+01,,         0.15500,5.00000e+00,
0.48917   ,-4.18416e+01,-4.08224e+01,-4.15597e+01,-3.84485e+01,-4.24959e+01,-4.12016e+01,-4.59258e+01,-4.41271e+01,,         0.15667,-1.30000e+01,
0.57233   ,-4.68807e+01,-5.18907e+01,-4.51415e+01,-4.64530e+01,-5.12825e+01,-3.83063e+01,-4.79283e+01,-4.25941e+01,,         0.15833,-2.90000e+01,
0.65549   ,-4.61874e+01,-4.78436e+01,-4.51402e+01,-4.39390e+01,-4.85154e+01,-4.17238e+01,-4.81300e+01,-4.41821e+01,,         0.16000,-4.20000e+01,
0.73865   ,-3.72853e+01,-3.73192e+01,-3.69663e+01,-3.79672e+01,-4.12203e+01,-4.01762e+01,-4.09860e+01,-4.34830e+01,,         0.16167,-5.10000e+01,
0.82181   ,-4.18521e+01,-4.20046e+01,-4.04171e+01,-4.15139e+01,-4.78388e+01,-4.06201e+01,-4.69961e+01,-4.50540e+01,,         0.16333,-5.60000e+01,
0.90497   ,-3.93612e+01,-4.17624e+01,-3.88052e+01,-4.08090e+01,-4.52717e+01,-4.44283e+01,-4.45246e+01,-4.34857e+01,,         0.16500,-5.80000e+01,
0.98813   ,-4.36673e+01,-4.52578e+01,-4.44410e+01,-4.28579e+01,-4.68590e+01,-4.16959e+01,-4.38635e+01,-4.40374e+01,,         0.16667,-5.80000e+01,
1.07129   ,-3.63613e+01,-3.92120e+01,-3.62039e+01,-3.61719e+01,-4.24131e+01,-3.76405e+01,-4.38360e+01,-4.15408e+01,,         0.16833,-5.60000e+01,
1.15445   ,-3.99049e+01,-4.05901e+01,-3.89583e+01,-3.86440e+01,-4.72174e+01,-4.06966e+01,-5.05531e+01,-4.38843e+01,,         0.17000,-5.20000e+01,
