Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,27.1731,40.9687,0.809096,0,11.136,-52.3112,24.4405,0.372549,59.6737,16.2497,43.424,
Trace 2 :,33.1275,41.0273,0.519711,0,13.8321,-52.604,15.4145,0.508621,-13.7049,-5.47712,-8.22781,
Trace 3 :,29.8059,40.9687,0.309216,0,28.426,-51.7814,33.994,2.25581,45.6959,28.7563,16.9396,
Trace 4 :,28.1549,40.9687,0.742337,0,12.2496,-51.3828,26.8436,0.425662,33.4067,9.7659,23.6408,
Trace 5 :,27.4207,39.9137,5.33558,0,1.17221,-54.2446,7.56074,0.0294118,-36.06,-1.78662,-34.2734,
Trace 6 :,7.14491,37.8037,1.24443,0,1.34804,-55.944,4.16134,0.0339734,-19.4622,0.566313,-20.0285,
Trace 7 :,20.7671,37.452,0.0602377,0,18.8725,-58.2956,7.79518,0.851852,-141.848,-58.3484,-83.4998,
Trace 8 :,6.52935,7.50213,0.0314192,0,39.269,-56.2729,22.9167,22.3333,-15.9634,-15.5623,-0.401037,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.048906,41.0762,
Trace 2 :,0.048906,41.0762,
Trace 3 :,0.048906,41.0762,
Trace 4 :,0.048906,41.0762,
Trace 5 :,0.048906,41.0762,
Trace 6 :,0.048906,41.0762,
Trace 7 :,0.048906,41.0762,
Trace 8 :,0.048906,41.0762,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 3 :,Red,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 4 :,Green,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,2.0 mm,2.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(Yellow):,Trace 2(LightBlue):,Trace 3(Red):,Trace 4(Green):,Trace 5(Orange):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
0.04891   ,-6.13213e+01,-5.97927e+01,-6.05712e+01,-6.04761e+01,-6.04990e+01,-5.76216e+01,-5.94325e+01,-5.75067e+01,,         0.02000,-7.30000e+01,
0.10752   ,-5.72721e+01,-5.84512e+01,-5.84843e+01,-6.12952e+01,-6.14365e+01,-5.68443e+01,-6.43465e+01,-5.77257e+01,,         0.02167,-7.20000e+01,
0.16613   ,-6.14687e+01,-6.13380e+01,-6.41805e+01,-6.33501e+01,-6.01219e+01,-5.63437e+01,-6.44234e+01,-5.71020e+01,,         0.02333,-7.10000e+01,
0.22474   ,-5.58243e+01,-5.91655e+01,-5.82787e+01,-5.85815e+01,-5.80611e+01,-5.67706e+01,-6.21429e+01,-5.74562e+01,,         0.02500,-7.00000e+01,
0.28335   ,-6.00464e+01,-6.35560e+01,-5.96471e+01,-5.65956e+01,-6.35914e+01,-5.67495e+01,-5.96997e+01,-5.79343e+01,,         0.02667,-6.90000e+01,
0.34196   ,-6.28260e+01,-5.92386e+01,-6.00149e+01,-6.14322e+01,-6.12898e+01,-5.81938e+01,-6.00142e+01,-5.94369e+01,,         0.02833,-6.70000e+01,
0.40057   ,-6.06344e+01,-5.88010e+01,-6.13177e+01,-6.20743e+01,-5.99669e+01,-5.75382e+01,-5.91143e+01,-5.79491e+01,,         0.03000,-6.40000e+01,
0.45918   ,-5.97895e+01,-5.70076e+01,-6.25733e+01,-6.33027e+01,-6.20155e+01,-5.72759e+01,-5.97372e+01,-5.77341e+01,,         0.03167,-5.90000e+01,
0.51779   ,-6.32179e+01,-6.49557e+01,-6.24555e+01,-6.08904e+01,-6.61842e+01,-5.77823e+01,-6.02629e+01,-5.75790e+01,,         0.03333,-5.40000e+01,
0.57640   ,-5.88992e+01,-5.66760e+01,-5.74454e+01,-5.45626e+01,-6.14735e+01,-5.76318e+01,-6.12820e+01,-5.73013e+01,,         0.03500,-4.90000e+01,
0.63501   ,-5.98958e+01,-6.20421e+01,-5.77542e+01,-6.22261e+01,-6.49486e+01,-5.80885e+01,-6.13394e+01,-5.73100e+01,,         0.03667,-4.30000e+01,
0.69362   ,-6.11586e+01,-6.00251e+01,-5.51320e+01,-6.00299e+01,-6.40249e+01,-5.75108e+01,-6.11991e+01,-5.69188e+01,,         0.03833,-3.80000e+01,
0.75223   ,-6.29860e+01,-6.19611e+01,-6.28004e+01,-6.36301e+01,-6.58999e+01,-5.71640e+01,-6.14859e+01,-5.77202e+01,,         0.04000,-3.30000e+01,
0.81084   ,-6.40143e+01,-6.35928e+01,-6.30465e+01,-6.19962e+01,-6.30756e+01,-5.67639e+01,-6.04075e+01,-5.77788e+01,,         0.04167,-2.80000e+01,
0.86945   ,-5.99987e+01,-6.25912e+01,-5.58627e+01,-5.91295e+01,-5.89793e+01,-5.71770e+01,-6.09621e+01,-5.78703e+01,,         0.04333,-2.40000e+01,
0.92806   ,-5.99701e+01,-6.06167e+01,-6.04280e+01,-5.92894e+01,-6.27249e+01,-5.72963e+01,-6.00799e+01,-5.74664e+01,,         0.04500,-2.10000e+01,
0.98667   ,-6.09267e+01,-5.94354e+01,-5.87527e+01,-6.23387e+01,-6.10266e+01,-5.70605e+01,-6.02010e+01,-5.80042e+01,,         0.04667,-1.80000e+01,
1.04528   ,-6.02771e+01,-6.09220e+01,-5.99439e+01,-5.99223e+01,-6.10917e+01,-5.78165e+01,-6.19800e+01,-5.74155e+01,,         0.04833,-1.60000e+01,
