Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,15.4729,31.3678,0.372829,0,3.68058,-57.1394,13.6613,0.0910231,-118.932,-6.59627,-112.336,
Trace 2 :,14.3636,23.9735,0.0595711,0,44.0675,-55.7972,5.57061,903.43,-8.42025,-8.46355,0.0432963,
Trace 3 :,10.6691,11.0749,0.0738306,0,11.5391,-55.3254,21.1551,0.354209,-40.4924,-12.082,-28.4104,
Trace 4 :,11.3581,11.6386,0.105943,0,23.1777,-53.9274,26.4272,1.10694,39.4472,24.0235,15.4237,
Trace 5 :,12.3273,33.2579,0.299113,0,5.53745,-57.0043,18.7345,0.143536,-50.6639,-7.39244,-43.2714,
Trace 6 :,9.97888,44.0344,0.00985319,0,24.3714,-54.6419,33.0589,1.23432,-45.4212,-24.8491,-20.572,
Trace 7 :,16.1308,40.1217,0.0180477,0,40.2543,-48.4393,3.51479,10.4232,-27.7606,-25.4997,-2.26091,
Trace 8 :,14.8899,37.8669,0.220701,0,3.21637,-56.7486,35.7116,0.0786399,-49.5179,-2.19941,-47.3185,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.023708,44.14,
Trace 2 :,0.023708,44.14,
Trace 3 :,0.023708,44.14,
Trace 4 :,0.023708,44.14,
Trace 5 :,0.023708,44.14,
Trace 6 :,0.023708,44.14,
Trace 7 :,0.023708,44.14,
Trace 8 :,0.023708,44.14,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 3 :,Red,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 4 :,Green,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,2.0 mm,2.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(Yellow):,Trace 2(LightBlue):,Trace 3(Red):,Trace 4(Green):,Trace 5(Orange):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
0.02371   ,-5.85116e+01,-5.84223e+01,-5.61773e+01,-5.63829e+01,-5.86606e+01,-5.48820e+01,-4.91658e+01,-5.74584e+01,,         0.00000,1.10000e+02,
0.05687   ,-5.85025e+01,-5.83569e+01,-5.68608e+01,-5.56814e+01,-5.91083e+01,-5.48192e+01,-4.92268e+01,-5.75409e+01,,         0.00167,1.07000e+02,
0.09003   ,-5.90852e+01,-5.87091e+01,-5.76020e+01,-5.60086e+01,-5.97340e+01,-5.56724e+01,-4.95685e+01,-5.85200e+01,,         0.00333,1.02000e+02,
0.12318   ,-5.95943e+01,-5.77464e+01,-5.79788e+01,-5.62453e+01,-5.95562e+01,-5.61678e+01,-5.00647e+01,-5.87347e+01,,         0.00500,9.40000e+01,
0.15634   ,-6.08801e+01,-5.76366e+01,-5.81348e+01,-5.59029e+01,-5.81571e+01,-5.61027e+01,-5.00197e+01,-5.92411e+01,,         0.00667,8.40000e+01,
0.18950   ,-6.15312e+01,-5.80937e+01,-5.77912e+01,-5.59492e+01,-6.00295e+01,-5.53957e+01,-4.95552e+01,-5.85887e+01,,         0.00833,7.00000e+01,
0.22266   ,-6.03748e+01,-5.78696e+01,-5.75238e+01,-5.60599e+01,-6.00531e+01,-5.55387e+01,-4.88571e+01,-5.83087e+01,,         0.01000,5.30000e+01,
0.25582   ,-6.12365e+01,-5.87993e+01,-5.75238e+01,-5.58152e+01,-5.97308e+01,-5.58887e+01,-4.88181e+01,-5.81519e+01,,         0.01167,3.40000e+01,
0.28898   ,-6.08411e+01,-5.79715e+01,-5.73565e+01,-5.58512e+01,-5.98328e+01,-5.53969e+01,-4.88577e+01,-5.80427e+01,,         0.01333,1.60000e+01,
0.32213   ,-6.06832e+01,-5.84465e+01,-5.80211e+01,-5.59334e+01,-6.02206e+01,-5.58795e+01,-4.88938e+01,-5.77000e+01,,         0.01500,-2.00000e+00,
0.35529   ,-6.06222e+01,-5.94576e+01,-5.72021e+01,-5.58480e+01,-5.95473e+01,-5.58770e+01,-4.88091e+01,-5.74608e+01,,         0.01667,-1.80000e+01,
0.38845   ,-6.03488e+01,-5.80015e+01,-5.72420e+01,-5.53523e+01,-6.11441e+01,-5.62331e+01,-4.94320e+01,-5.86428e+01,,         0.01833,-3.10000e+01,
0.42161   ,-6.03417e+01,-5.83967e+01,-5.87192e+01,-5.52218e+01,-6.20985e+01,-5.56974e+01,-5.09946e+01,-5.93489e+01,,         0.02000,-3.80000e+01,
0.45477   ,-6.01349e+01,-5.84456e+01,-5.84130e+01,-5.53317e+01,-6.07803e+01,-5.63826e+01,-5.10943e+01,-5.92682e+01,,         0.02167,-4.10000e+01,
0.48793   ,-5.99888e+01,-5.85467e+01,-5.78240e+01,-5.53452e+01,-6.07678e+01,-5.62740e+01,-5.05207e+01,-5.85131e+01,,         0.02333,-4.10000e+01,
