Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,13.9667,23.6786,0.800471,0.175832,5.97826,-52.5935,2.69608,0.173186,-8.95038,2.38433,-11.3347,
Trace 2 :,9.74088,6.09548,0.142102,0.175832,23.62,-53.2614,32.2357,1.39949,16.7693,6.03834,10.7309,
Trace 3 :,11.0575,18.5795,0.940946,0.175832,5.97826,-50.8829,34.1699,0.173186,5.40911,5.11993,0.289183,
Trace 4 :,11.6055,18.5795,0.716043,0.175832,5.97826,-49.6024,10.4327,0.173186,-27.1944,-1.27783,-25.9166,
Trace 5 :,7.26015,23.6786,0.748756,0.175832,4.68883,-54.06,25.73,0.130941,26.0522,3.30382,22.7484,
Trace 6 :,5.32204,13.246,0.121977,0.175832,13.5976,-52.1339,26.9608,0.505489,-4.04064,-2.32351,-1.71714,
Trace 7 :,8.57048,27.9572,0.118629,0.175832,39.6206,-60.2927,27.5469,45.1814,53.5908,51.0159,2.57498,
Trace 8 :,5.40067,30.8877,0.112476,0.175832,30.8877,-51.5891,9.5535,3.21416,22.8985,17.0615,5.83701,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.221667,40.7217,
Trace 2 :,0.221667,40.7217,
Trace 3 :,0.221667,40.7217,
Trace 4 :,0.221667,40.7217,
Trace 5 :,0.221667,40.7217,
Trace 6 :,0.221667,40.7217,
Trace 7 :,0.221667,40.7217,
Trace 8 :,0.221667,40.7217,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 3 :,Red,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 4 :,Green,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,2.0 mm,2.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(Yellow):,Trace 2(LightBlue):,Trace 3(Red):,Trace 4(Green):,Trace 5(Orange):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
