Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,21.8094,30.2736,1.04469,0.165792,5.10639,-55.321,10.5775,0.138496,7.7226,2.4994,5.2232,
Trace 2 :,27.6734,20.2598,13.8835,0.165792,0.397901,-52.8167,14.8218,0.00956979,-29.6776,0.295583,-29.9732,
Trace 3 :,35.0592,26.6262,0.38093,0.165792,16.5129,-52.3634,1.95635,0.648482,-12.0277,-4.06151,-7.96614,
Trace 4 :,25.8639,3.71374,0.515922,0.165792,11.3402,-54.8017,21.0224,0.370151,51.4548,12.2908,39.164,
Trace 5 :,25.1037,3.21637,2.25823,0.165792,3.08373,-55.187,19.6298,0.0792875,28.5792,4.05006,24.5291,
Trace 6 :,36.3955,40.5859,0.282069,0.165792,23.9735,-53.8646,7.46064,1.33162,46.5607,36.6795,9.88118,
Trace 7 :,22.018,0.165792,0.276357,0.165792,31.7326,-51.5318,7.79222,3.09762,128.088,84.907,43.1809,
Trace 8 :,19.9604,32.7605,0.302969,0.165792,22.0172,-53.8533,12.6334,1.10309,77.5111,38.215,39.2961,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.185,42.1667,
Trace 2 :,0.185,42.1667,
Trace 3 :,0.185,42.1667,
Trace 4 :,0.185,42.1667,
Trace 5 :,0.185,42.1667,
Trace 6 :,0.185,42.1667,
Trace 7 :,0.185,42.1667,
Trace 8 :,0.185,42.1667,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 3 :,Red,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 4 :,Green,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,2.0 mm,2.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(Yellow):,Trace 2(LightBlue):,Trace 3(Red):,Trace 4(Green):,Trace 5(Orange):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
0.18990   ,-6.06556e+01,-5.83410e+01,-5.86537e+01,-6.06523e+01,-6.21508e+01,-6.06267e+01,-6.03014e+01,-6.05238e+01,,         0.18667,5.00000e+00,
0.22305   ,-6.06778e+01,-5.91898e+01,-5.80886e+01,-6.03600e+01,-6.16180e+01,-6.09617e+01,-5.98331e+01,-5.94979e+01,,         0.18833,-1.60000e+01,
