Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
1.82062   ,-4.59043e+01,-4.62100e+01,-4.71297e+01,-4.36474e+01,-4.54443e+01,-5.52194e+01,-6.35092e+01,-5.30381e+01,,         0.17167,-4.80000e+01,
1.90378   ,-5.68705e+01,-5.51014e+01,-5.27435e+01,-5.21890e+01,-5.36047e+01,-5.58275e+01,-6.24793e+01,-5.36780e+01,,         0.17333,-4.60000e+01,
1.98694   ,-4.10681e+01,-4.40292e+01,-3.96018e+01,-4.12880e+01,-4.49024e+01,-5.49822e+01,-6.46232e+01,-5.31401e+01,,         0.17500,-4.40000e+01,
2.07010   ,-4.18023e+01,-4.45758e+01,-4.19971e+01,-4.06691e+01,-4.30680e+01,-5.58787e+01,-6.37145e+01,-5.33920e+01,,         0.17667,-4.20000e+01,
2.15326   ,-4.56849e+01,-4.46623e+01,-4.56453e+01,-4.77203e+01,-4.81213e+01,-5.66582e+01,-6.42231e+01,-5.37296e+01,,         0.17833,-4.10000e+01,
2.23642   ,-5.16202e+01,-5.11777e+01,-4.93889e+01,-5.15526e+01,-5.45754e+01,-5.50012e+01,-6.21009e+01,-5.39532e+01,,         0.18000,-4.00000e+01,
2.31958   ,-4.51233e+01,-4.72918e+01,-4.47839e+01,-4.41274e+01,-4.77285e+01,-5.45388e+01,-6.34762e+01,-5.30188e+01,,         0.18167,-3.90000e+01,
2.40274   ,-4.50596e+01,-4.47069e+01,-4.66765e+01,-4.48178e+01,-4.46788e+01,-5.62635e+01,-6.36058e+01,-5.34161e+01,,         0.18333,-3.80000e+01,
2.48590   ,-4.40806e+01,-4.41651e+01,-4.34169e+01,-4.21370e+01,-4.54389e+01,-5.53967e+01,-6.26823e+01,-5.45429e+01,,         0.18500,-3.70000e+01,
2.56906   ,-5.23222e+01,-5.16351e+01,-5.13815e+01,-4.86589e+01,-5.10587e+01,-5.40626e+01,-6.19278e+01,-5.39514e+01,,         0.18667,-3.70000e+01,
2.65222   ,-4.66173e+01,-4.61573e+01,-4.59452e+01,-4.43060e+01,-4.62334e+01,-5.29179e+01,-6.35747e+01,-5.44668e+01,,         0.18833,-3.60000e+01,
2.73538   ,-4.26822e+01,-4.44854e+01,-4.30970e+01,-4.28070e+01,-4.60240e+01,-5.13889e+01,-6.31315e+01,-5.44373e+01,,         0.19000,-3.50000e+01,
2.81854   ,-4.14397e+01,-4.26850e+01,-4.12301e+01,-4.05904e+01,-4.36796e+01,-5.21442e+01,-6.15736e+01,-5.47911e+01,,         0.19167,-3.50000e+01,
2.90170   ,-5.20259e+01,-5.19546e+01,-5.07238e+01,-5.23104e+01,-5.14008e+01,-5.34955e+01,-6.31906e+01,-5.54545e+01,,         0.19333,-3.40000e+01,
2.98486   ,-4.32583e+01,-4.26446e+01,-4.42195e+01,-4.31907e+01,-4.59302e+01,-5.20593e+01,-6.24784e+01,-5.55163e+01,,         0.19500,-3.30000e+01,
3.06802   ,-4.16160e+01,-4.21866e+01,-4.08918e+01,-4.19624e+01,-4.33639e+01,-5.27858e+01,-6.13923e+01,-5.34166e+01,,         0.19667,-3.20000e+01,
3.15118   ,-4.33279e+01,-4.26974e+01,-4.50132e+01,-4.51866e+01,-4.36333e+01,-5.22708e+01,-6.25206e+01,-5.24377e+01,,         0.19833,-3.10000e+01,
3.23434   ,-4.90125e+01,-5.10154e+01,-4.68443e+01,-4.83508e+01,-5.03920e+01,-5.68718e+01,-6.31112e+01,-5.28817e+01,,         0.20000,-3.00000e+01,
3.31750   ,-4.24479e+01,-4.42728e+01,-4.34565e+01,-4.27074e+01,-4.27173e+01,-5.67753e+01,-6.19345e+01,-5.23401e+01,,         0.20167,-2.90000e+01,
3.40066   ,-4.35377e+01,-4.42097e+01,-4.43053e+01,-4.38042e+01,-4.60856e+01,-5.32686e+01,-6.10301e+01,-5.25593e+01,,         0.20333,-2.80000e+01,
3.48382   ,-4.49579e+01,-4.61241e+01,-4.51956e+01,-4.46738e+01,-4.38756e+01,-5.35715e+01,-6.11809e+01,-5.42641e+01,,         0.20500,-2.70000e+01,
3.56698   ,-5.37171e+01,-5.31058e+01,-5.36822e+01,-5.08764e+01,-5.11552e+01,-5.43352e+01,-6.26337e+01,-5.57291e+01,,         0.20667,-2.60000e+01,
3.65014   ,-4.29303e+01,-4.36046e+01,-4.36179e+01,-4.17094e+01,-4.42573e+01,-5.70033e+01,-6.28767e+01,-5.57695e+01,,         0.20833,-2.50000e+01,
3.73330   ,-4.42992e+01,-4.39555e+01,-4.71759e+01,-4.33960e+01,-4.46840e+01,-5.96176e+01,-6.16736e+01,-5.56986e+01,,         0.21000,-2.50000e+01,
3.81646   ,-4.14843e+01,-4.41107e+01,-4.23374e+01,-4.00100e+01,-4.34418e+01,-5.71675e+01,-6.34601e+01,-5.47743e+01,,         0.21167,-2.40000e+01,
3.89962   ,-5.23750e+01,-5.15341e+01,-5.32110e+01,-4.92729e+01,-5.08211e+01,-5.50307e+01,-6.23686e+01,-5.42272e+01,,         0.21333,-2.30000e+01,
3.98278   ,-4.25426e+01,-4.28393e+01,-4.27904e+01,-4.25373e+01,-4.37186e+01,-5.77679e+01,-6.25936e+01,-5.46785e+01,,         0.21500,-2.20000e+01,
4.06594   ,-4.24955e+01,-4.42758e+01,-4.37030e+01,-4.27000e+01,-4.39820e+01,-5.62715e+01,-6.23929e+01,-5.42148e+01,,         0.21667,-2.10000e+01,
4.14910   ,-4.65840e+01,-4.58678e+01,-4.58333e+01,-4.67834e+01,-4.73995e+01,-5.65550e+01,-6.37976e+01,-5.45408e+01,,         0.21833,-2.00000e+01,
4.23226   ,-4.85842e+01,-5.00129e+01,-4.80181e+01,-4.41670e+01,-4.98677e+01,-5.65877e+01,-6.12431e+01,-5.32372e+01,,         0.22000,-2.00000e+01,
4.31542   ,-4.27778e+01,-4.43782e+01,-4.28036e+01,-4.24582e+01,-4.62820e+01,-5.60187e+01,-6.39496e+01,-5.41342e+01,,         0.22167,-1.90000e+01,
4.39858   ,-4.45230e+01,-4.62407e+01,-4.49139e+01,-4.38851e+01,-4.82077e+01,-5.43248e+01,-6.03433e+01,-5.47989e+01,,         0.22333,-1.90000e+01,
4.48174   ,-5.58113e+01,-5.28729e+01,-5.42203e+01,-5.10706e+01,-5.35582e+01,-5.32408e+01,-6.20468e+01,-5.43771e+01,,         0.22500,-1.80000e+01,
4.56490   ,-5.08567e+01,-4.99356e+01,-5.10738e+01,-4.61432e+01,-4.90088e+01,-5.54622e+01,-6.15212e+01,-5.43917e+01,,         0.22667,-1.80000e+01,
4.64806   ,-4.35663e+01,-4.54124e+01,-4.32911e+01,-4.16225e+01,-4.35744e+01,-5.43890e+01,-6.11105e+01,-5.40877e+01,,         0.22833,-1.80000e+01,
4.73122   ,-4.33198e+01,-4.52131e+01,-4.33529e+01,-4.44675e+01,-4.44435e+01,-5.57538e+01,-6.13905e+01,-5.49114e+01,,         0.23000,-1.80000e+01,
4.81438   ,-5.03944e+01,-5.01234e+01,-4.93239e+01,-5.12781e+01,-5.20826e+01,-5.62506e+01,-6.17464e+01,-5.52279e+01,,         0.23167,-1.80000e+01,
4.89754   ,-4.70415e+01,-5.04991e+01,-4.65952e+01,-4.54716e+01,-4.94664e+01,-5.49263e+01,-6.32343e+01,-5.39444e+01,,         0.23333,-1.80000e+01,
4.98070   ,-4.48914e+01,-4.39069e+01,-4.47638e+01,-4.57053e+01,-4.50069e+01,-5.21186e+01,-6.16821e+01,-5.48191e+01,,         0.23500,-1.80000e+01,
5.06386   ,-4.32476e+01,-4.36479e+01,-4.52802e+01,-4.33695e+01,-4.43659e+01,-5.09583e+01,-6.24930e+01,-5.43349e+01,,         0.23667,-1.80000e+01,
5.14702   ,-5.05987e+01,-4.90673e+01,-5.30624e+01,-4.90765e+01,-5.06727e+01,-5.31120e+01,-6.19328e+01,-5.55272e+01,,         0.23833,-1.80000e+01,
5.23018   ,-4.83717e+01,-4.64242e+01,-4.82770e+01,-4.75232e+01,-4.89161e+01,-5.46569e+01,-6.11579e+01,-5.36928e+01,,         0.24000,-1.80000e+01,
5.31334   ,-4.11197e+01,-4.29244e+01,-4.06851e+01,-4.18727e+01,-4.63188e+01,-5.37085e+01,-6.34056e+01,-5.44274e+01,,         0.24167,-1.90000e+01,
5.39651   ,-4.48207e+01,-4.46031e+01,-4.34586e+01,-4.18512e+01,-4.71948e+01,-5.35952e+01,-6.17549e+01,-5.43779e+01,,         0.24333,-1.90000e+01,
5.47967   ,-5.09312e+01,-5.01386e+01,-5.11252e+01,-4.92036e+01,-5.29303e+01,-5.44064e+01,-6.15702e+01,-5.44916e+01,,         0.24500,-1.90000e+01,
5.56283   ,-4.35519e+01,-4.53089e+01,-4.53870e+01,-4.29119e+01,-4.34109e+01,-5.46722e+01,-6.19697e+01,-5.37548e+01,,         0.24667,-1.90000e+01,
5.64599   ,-4.36927e+01,-4.49998e+01,-4.37186e+01,-4.34153e+01,-4.52116e+01,-5.29716e+01,-6.20605e+01,-5.48468e+01,,         0.24833,-2.00000e+01,
5.72915   ,-4.11044e+01,-4.16142e+01,-4.02128e+01,-4.56254e+01,-4.61767e+01,-5.39080e+01,-6.28633e+01,-5.49418e+01,,         0.25000,-2.00000e+01,
5.81231   ,-5.32848e+01,-5.44905e+01,-5.18002e+01,-5.12217e+01,-5.36354e+01,-5.24267e+01,-6.27691e+01,-5.50030e+01,,         0.25167,-2.00000e+01,
5.89547   ,-4.63643e+01,-4.63497e+01,-4.54861e+01,-4.30279e+01,-4.71030e+01,-5.37526e+01,-6.23999e+01,-5.50458e+01,,         0.25333,-2.10000e+01,
5.97863   ,-4.38415e+01,-4.69785e+01,-4.48123e+01,-4.21842e+01,-4.53046e+01,-5.72987e+01,-6.37284e+01,-5.46230e+01,,         0.25500,-2.20000e+01,
6.06179   ,-4.31619e+01,-4.36605e+01,-4.30450e+01,-4.16192e+01,-4.36150e+01,-5.76721e+01,-6.26637e+01,-5.72645e+01,,         0.25667,-2.20000e+01,
6.14495   ,-5.08942e+01,-5.05516e+01,-5.04222e+01,-4.93717e+01,-5.11041e+01,-5.95380e+01,-6.27759e+01,-5.63094e+01,,         0.25833,-2.30000e+01,
6.22811   ,-4.39018e+01,-4.46873e+01,-4.50730e+01,-4.46254e+01,-4.43448e+01,-6.12614e+01,-6.38876e+01,-5.65956e+01,,         0.26000,-2.50000e+01,
6.31127   ,-4.43073e+01,-4.47905e+01,-4.64730e+01,-4.29108e+01,-4.56489e+01,-5.97468e+01,-6.24469e+01,-5.39532e+01,,         0.26167,-2.60000e+01,
6.39443   ,-4.22911e+01,-4.63674e+01,-4.17502e+01,-4.06295e+01,-4.39741e+01,-5.96762e+01,-6.40650e+01,-5.16518e+01,,         0.26333,-2.80000e+01,
6.47759   ,-5.28550e+01,-5.20721e+01,-5.37648e+01,-4.90573e+01,-5.31096e+01,-5.78403e+01,-6.36331e+01,-5.39365e+01,,         0.26500,-2.90000e+01,
6.56075   ,-4.32409e+01,-4.27032e+01,-4.51210e+01,-4.16404e+01,-4.23026e+01,-5.84238e+01,-6.21329e+01,-5.35895e+01,,         0.26667,-3.10000e+01,
6.64391   ,-4.41372e+01,-4.30716e+01,-4.21418e+01,-4.22410e+01,-4.47307e+01,-5.78281e+01,-6.20015e+01,-5.04960e+01,,         0.26833,-3.30000e+01,
