Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,13.017,0.11722,0.146603,0.11722,28.1916,-51.4695,28.6019,2.34634,13.3971,7.39799,5.99909,
Trace 2 :,13.0874,40.2653,0.13509,0.11722,33.8182,-51.5403,6.15409,5.29358,45.5039,38.1513,7.35257,
Trace 3 :,8.68362,13.0701,0.0751148,0.11722,33.8182,-51.2007,15.1801,5.29358,-14.2726,-13.1506,-1.12201,
Trace 4 :,9.46092,22.1547,0.0685826,0.11722,28.1916,-51.0457,31.298,2.34634,-48.8447,-35.0127,-13.832,
Trace 5 :,13.1494,31.7668,0.391703,0.11722,14.2423,-53.9966,24.7336,0.548533,47.058,19.3622,27.6958,
Trace 6 :,8.81985,23.2683,0.0912286,0.11722,12.2496,-59.7934,17.759,0.438155,-32.1631,-11.7876,-20.3756,
Trace 7 :,4.66859,7.56074,0.0765106,0.11722,37.9209,-55.3473,11.6049,16.5897,27.069,22.4368,4.63215,
Trace 8 :,6.03677,38.4484,0.0492839,0.11722,30.6532,-56.2088,25.8472,3.20859,-18.0218,-17.1594,-0.862363,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.138333,40.3722,
Trace 2 :,0.138333,40.3722,
Trace 3 :,0.138333,40.3722,
Trace 4 :,0.138333,40.3722,
Trace 5 :,0.138333,40.3722,
Trace 6 :,0.138333,40.3722,
Trace 7 :,0.138333,40.3722,
Trace 8 :,0.138333,40.3722,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 3 :,Red,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 4 :,Green,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,2.0 mm,2.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(Yellow):,Trace 2(LightBlue):,Trace 3(Red):,Trace 4(Green):,Trace 5(Orange):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
0.16548   ,-5.56024e+01,-5.61088e+01,-5.37410e+01,-5.29792e+01,-5.95754e+01,-6.09110e+01,-5.82486e+01,-5.77195e+01,,         0.13833,7.70000e+01,
0.22409   ,-5.54970e+01,-5.74489e+01,-5.56669e+01,-5.31801e+01,-5.60820e+01,-6.12124e+01,-5.90454e+01,-5.78523e+01,,         0.14000,6.00000e+01,
0.28270   ,-5.31768e+01,-5.37337e+01,-5.43864e+01,-5.23579e+01,-5.68176e+01,-6.29292e+01,-5.82268e+01,-5.85542e+01,,         0.14167,4.30000e+01,
0.34131   ,-5.35011e+01,-5.38491e+01,-5.36824e+01,-5.26929e+01,-5.70271e+01,-6.09843e+01,-5.84666e+01,-5.86711e+01,,         0.14333,2.50000e+01,
0.39992   ,-5.60191e+01,-5.51361e+01,-5.45504e+01,-5.39926e+01,-5.97181e+01,-6.15704e+01,-5.86794e+01,-5.86898e+01,,         0.14500,1.00000e+01,
0.45853   ,-5.33868e+01,-5.52144e+01,-5.31787e+01,-5.19935e+01,-5.70245e+01,-6.03045e+01,-5.84027e+01,-5.79495e+01,,         0.14667,-3.00000e+00,
0.51714   ,-5.71042e+01,-5.56299e+01,-5.59185e+01,-5.53619e+01,-5.89688e+01,-6.16734e+01,-5.88848e+01,-5.79255e+01,,         0.14833,-1.20000e+01,
0.57575   ,-5.69207e+01,-5.57500e+01,-5.55967e+01,-5.61708e+01,-5.90401e+01,-6.17104e+01,-5.90696e+01,-5.91918e+01,,         0.15000,-1.70000e+01,
